"Year","$n_1$","$n_2$","$n_3$","MMB","CV MMB"
1978,3151217.3204,2048031.5213,1704813.4472,4676.1993,0.175801449778734
1979,4405643.8907,2394327.0158,2341979.0879,6576.3317,0.122423290259255
1980,3774513.9731,3287007.8327,3535568.8309,10426.5319,0.0829794578304044
1981,1435061.45,3228410.0482,4941160.1877,10850.5288,0.0624377161456522
1982,1622665.4823,1833539.2792,4959494.8686,7725.1576,0.0719527658813277
1983,826815.0648,1449708.9268,3522401.6537,4646.425,0.0993081198965611
1984,673503.5781,867977.8025,2029458.8317,3119.1365,0.123265423487435
1985,940550.7784,631919.4733,1451162.287,2758.7297,0.142592724736784
1986,1398609.1331,716292.5758,1230084.1348,2693.7865,0.138589254473532
1987,1351732.1851,1011045.4812,1322901.4328,3182.8964,0.126730414338497
1988,1256199.5815,1080852.1357,1534825.3703,3473.5626,0.123490099038939
1989,2919885.3266,1048636.1016,1691144.4444,3969.1553,0.118803711797824
1990,1888478.5532,1974230.673,1993985.1354,5088.4967,0.0927014231393481
1991,1953255.475,1686052.289,2476051.9448,5111.326,0.0938351422469037
1992,2112698.537,1606335.0692,2435840.3144,5290.3493,0.0849132175839997
1993,2392964.1433,1685629.7401,2547439.1831,5543.1464,0.0767508129981516
1994,1638537.2549,1860335.9975,2625258.7197,5314.1379,0.0703888567745912
1995,1766632.7398,1483753.6424,2525426.8245,5201.478,0.0725972031276172
1996,1804613.2538,1446768.4471,2421767.9423,4903.8802,0.0749304910492055
1997,941521.1042,1454055.0506,2323562.9782,4295.6436,0.0940025118271139
1998,618296.3713,958642.0441,1906137.4349,2860.1677,0.109167795112311
1999,381326.1824,315897.9779,737767.0285,1734.7563,0.101692903572266
2000,421648.1751,320951.8163,811560.0395,1878.7734,0.0837334739002085
2001,383989.5322,345592.7509,879771.6093,2033.9251,0.0760081111987705
2002,134380.4493,332344.9491,945495.6267,2141.8173,0.0706147326524378
2003,302038.8321,186255.0995,969851.2294,2021.9998,0.0715144268465253
2004,191453.73,233042.3755,932325.9396,2005.509,0.0715058547653988
2005,479483.8888,185831.396,914401.2881,1918.5006,0.0719752771257784
2006,718463.5014,333716.2231,903046.5595,2062.4103,0.0723816327553368
2007,409910.0926,517898.7791,990131.6546,2402.1943,0.0692099379580005
2008,844890.7983,398702.5533,1112004.7241,2525.9005,0.0605270483734652
2009,692584.1948,611116.5082,1209302.4696,2557.3139,0.0554592708286055
2010,634016.9718,586097.729,1281337.0258,2168.4599,0.0580134013094722
2011,509420.6563,528796.4355,1129161.5752,1588.4765,0.0724695716546684
2012,239665.0364,425750.9239,819051.1825,1061.6803,0.108690955488279
2013,264030.2284,246288.8859,539320.1597,1227.087,0.0982181469575851
2014,216046.9301,231419.3577,599793.7657,1160.4307,0.104206524883045
2015,171673.2166,195187.3986,571889.6932,1139.9123,0.10577892926834
2016,178307.7319,160858.6127,568984.9144,1187.2905,0.103056540929808
2017,138175.0285,154391.4307,572956.3622,1185.522,0.101257820809858
2018,147989.6887,129272.3176,568273.7375,1151.299,0.100817405770414
2019,262670.6654,126751.5547,553209.3026,1080.86032164,0.103078906619418
