Year,model.mm,model.mf,survey.m,survey.f
1972,18289.1,54610.04,19422.32707,46399.798
1973,22651.04,64361.21,25048.9,76168.865
1974,34107.76,64706.74,40852.06,72044.042
1975,39749.49,58791.93,40403.341,53124.134
1976,46522.77,73745.58,76207.465,60404.024
1977,59937.55,116645.94,70584.842,137887.409
1978,74674.85,117818.87,67875.021,144668.188
1979,71697.26,80297.46,37959.407,58185.716
1980,56160.36,92306.76,51333.48,75451.044
1981,16622.34,67142.82,18353.677,56127.513
1982,8998.81,28340.02,11998.81,51315.186
1983,8286.82,8912.69,5686.583,9122.382
1984,7916.03,12106.75,9076.903,20604.474
1985,6813.39,5223.01,7638.642,6331.402
1986,11435.34,7181.72,14759.207,6351.297
1987,12815.67,11926.45,14603.458,18295.066
1988,13251.39,14079.39,11557.06,21058.242
1989,14701.05,15270.44,15099.473,13811.83
1990,14829.17,12880.12,13656.572,17287.476
1991,11955.68,13181.3,23240.917,14888.762
1992,10185.45,13929.32,7473.234,10469.036
1993,10591.83,13065.36,12530.844,14542.571
1994,9154.37,10313.22,8555.07,6597.848
1995,9350.69,10112.38,9136.589,7700.395
1996,9831.91,12474.85,7156.029,11171.965
1997,11189.44,26374.39,12343.478,25044.43
1998,14892.03,22627.73,15432.976,32764.71
1999,15834.01,18122.64,17437.701,15662.678
2000,13380.32,18704.27,14020.781,21433.746
2001,13058.03,25585.78,7372.708,21332.277
2002,14778.78,23569.09,13608.833,17464.315
2003,15749.45,27772.4,24356.105,31673.373
2004,15468.69,36156.97,23726.021,33914.25
2005,18052.7,35031.02,15589.808,40879.32
2006,18404.25,35276.99,16381.279,33345.427
2007,17376.42,37613.69,18182.956,37683.937
2008,16353.25,35467.58,20943.961,37819.62
2009,15133.96,31141.11,15578.976,36152.983
2010,13489.94,27371.58,14690.698,31682.164
2011,11335.77,26713.94,9324.942,28683.768
2012,11071.53,27346.01,9681.499,21233.167
2013,11348.98,23706.12,12899.961,15733.138
2014,11148.68,23589.63,19683.761,38676.169
2015,10264.02,19634.55,11648.98,18712.33
2016,8803.59,16222.94,8960.757,22689.662
2017,7057.86,14676.15,7711.612,18496.506
2018,5916.52,12670.6,4586.751,9105.98
2019,5747.12,10608.92,5007.833,8587.309
2020,5831.65,9921.85,,
2021,5912.28,8068.19,6294.436,6432.005
2022,6385.07,7426.45,7596.983611,7634.420842
