fishery,management_area,target,opening_year,sex,size,new,old,very_old,unknown,total
TT06,bristol_bay,tanner_crab,2006,male,142,3,0,0,0,3
TT06,bristol_bay,tanner_crab,2006,male,144,3,0,0,0,3
TT06,bristol_bay,tanner_crab,2006,male,145,5,0,0,0,5
TT06,bristol_bay,tanner_crab,2006,male,146,1,0,0,0,1
TT06,bristol_bay,tanner_crab,2006,male,147,4,0,0,0,4
TT06,bristol_bay,tanner_crab,2006,male,148,1,0,0,0,1
TT06,bristol_bay,tanner_crab,2006,male,149,5,0,0,0,5
TT06,bristol_bay,tanner_crab,2006,male,150,1,0,0,0,1
TT06,bristol_bay,tanner_crab,2006,male,151,1,0,0,0,1
TT06,bristol_bay,tanner_crab,2006,male,152,2,0,0,0,2
TT06,bristol_bay,tanner_crab,2006,male,153,2,0,0,0,2
TT06,bristol_bay,tanner_crab,2006,male,154,1,0,0,0,1
TT06,bristol_bay,tanner_crab,2006,male,155,2,0,0,0,2
TT06,bristol_bay,tanner_crab,2006,male,156,1,0,0,0,1
TT06,bristol_bay,tanner_crab,2006,male,157,3,0,0,0,3
TT06,bristol_bay,tanner_crab,2006,male,158,0,0,1,0,1
TT06,bristol_bay,tanner_crab,2006,male,159,1,0,0,0,1
TT06,bristol_bay,tanner_crab,2006,male,162,1,0,0,0,1
TT06,bristol_bay,tanner_crab,2006,male,164,1,0,0,0,1
TT06,bristol_bay,tanner_crab,2006,male,165,1,0,1,0,2
TT06,bristol_bay,tanner_crab,2006,male,167,1,0,0,0,1
TT06,bristol_bay,tanner_crab,2006,male,170,1,0,0,0,1
TT08,bristol_bay,tanner_crab,2008,male,137,1,0,0,0,1
TT08,bristol_bay,tanner_crab,2008,male,139,2,0,0,0,2
TT08,bristol_bay,tanner_crab,2008,male,149,1,0,0,0,1
TT08,bristol_bay,tanner_crab,2008,male,154,0,0,0,1,1
TT08,bristol_bay,tanner_crab,2008,male,168,2,0,0,0,2
TT09,bristol_bay,tanner_crab,2009,male,136,1,0,0,0,1
TT09,bristol_bay,tanner_crab,2009,male,138,3,0,0,0,3
TT09,bristol_bay,tanner_crab,2009,male,139,1,0,0,0,1
TT09,bristol_bay,tanner_crab,2009,male,140,3,0,0,0,3
TT09,bristol_bay,tanner_crab,2009,male,141,3,0,0,0,3
TT09,bristol_bay,tanner_crab,2009,male,142,2,0,0,0,2
TT09,bristol_bay,tanner_crab,2009,male,144,3,0,0,0,3
TT09,bristol_bay,tanner_crab,2009,male,146,1,0,0,0,1
TT09,bristol_bay,tanner_crab,2009,male,147,2,0,0,0,2
TT09,bristol_bay,tanner_crab,2009,male,148,1,0,0,0,1
TT09,bristol_bay,tanner_crab,2009,male,149,4,0,0,0,4
TT09,bristol_bay,tanner_crab,2009,male,154,1,0,0,0,1
TT09,bristol_bay,tanner_crab,2009,male,168,1,0,0,0,1
TT13,bristol_bay,tanner_crab,2013,male,131,1,0,0,0,1
TT13,bristol_bay,tanner_crab,2013,male,133,1,1,0,0,2
TT13,bristol_bay,tanner_crab,2013,male,137,1,0,0,0,1
TT13,bristol_bay,tanner_crab,2013,male,138,1,0,0,0,1
TT13,bristol_bay,tanner_crab,2013,male,139,1,0,0,0,1
TT13,bristol_bay,tanner_crab,2013,male,140,2,0,0,0,2
TT13,bristol_bay,tanner_crab,2013,male,141,3,1,0,0,4
TT13,bristol_bay,tanner_crab,2013,male,142,2,1,0,0,3
TT13,bristol_bay,tanner_crab,2013,male,143,3,0,0,0,3
TT13,bristol_bay,tanner_crab,2013,male,144,5,1,0,0,6
TT13,bristol_bay,tanner_crab,2013,male,145,4,1,0,0,5
TT13,bristol_bay,tanner_crab,2013,male,146,3,0,0,0,3
TT13,bristol_bay,tanner_crab,2013,male,147,0,1,0,0,1
TT13,bristol_bay,tanner_crab,2013,male,148,1,0,0,0,1
TT13,bristol_bay,tanner_crab,2013,male,150,3,0,0,0,3
TT13,bristol_bay,tanner_crab,2013,male,151,2,0,0,0,2
TT13,bristol_bay,tanner_crab,2013,male,153,1,1,0,0,2
TT13,bristol_bay,tanner_crab,2013,male,154,1,0,0,0,1
TT13,bristol_bay,tanner_crab,2013,male,155,0,1,0,0,1
TT13,bristol_bay,tanner_crab,2013,male,156,4,0,0,0,4
TT13,bristol_bay,tanner_crab,2013,male,158,1,0,0,0,1
TT13,bristol_bay,tanner_crab,2013,male,159,5,0,0,0,5
TT13,bristol_bay,tanner_crab,2013,male,160,2,0,0,0,2
TT13,bristol_bay,tanner_crab,2013,male,162,1,2,0,0,3
TT13,bristol_bay,tanner_crab,2013,male,164,1,1,0,0,2
TT13,bristol_bay,tanner_crab,2013,male,165,0,0,1,0,1
TT13,bristol_bay,tanner_crab,2013,male,166,2,0,0,0,2
TT13,bristol_bay,tanner_crab,2013,male,167,1,1,0,0,2
TT13,bristol_bay,tanner_crab,2013,male,168,1,0,0,0,1
TT13,bristol_bay,tanner_crab,2013,male,169,1,0,0,0,1
TT13,bristol_bay,tanner_crab,2013,male,170,1,1,0,0,2
TT13,bristol_bay,tanner_crab,2013,male,175,2,0,0,0,2
TT13,bristol_bay,tanner_crab,2013,male,176,2,0,0,0,2
TT13,bristol_bay,tanner_crab,2013,male,178,0,1,0,0,1
TT13,bristol_bay,tanner_crab,2013,male,188,0,0,1,0,1
TT14,bristol_bay,tanner_crab,2014,male,131,1,0,0,0,1
TT14,bristol_bay,tanner_crab,2014,male,133,2,0,0,0,2
TT14,bristol_bay,tanner_crab,2014,male,134,3,0,0,0,3
TT14,bristol_bay,tanner_crab,2014,male,135,4,0,0,0,4
TT14,bristol_bay,tanner_crab,2014,male,136,4,0,0,0,4
