fishery,management_area,target,opening_year,group,total_catch_num,total_catch_lbs
TR90,bristol_bay,red_king_crab,1990,sublegal,1719207.6857142856,5744763.780730701
TR90,bristol_bay,red_king_crab,1990,tot_legal,3106210.3928571427,19876913.443130635
TR90,bristol_bay,red_king_crab,1990,female,2657639.8285714285,7046461.714478418
TR91,bristol_bay,red_king_crab,1991,sublegal,1543525.643382353,4777043.338797357
TR91,bristol_bay,red_king_crab,1991,tot_legal,2659549.0625,16812691.50200612
TR91,bristol_bay,red_king_crab,1991,female,306195.33088235295,515739.70607812295
TR92,bristol_bay,red_king_crab,1992,sublegal,2322746.396551724,6062260.975289845
TR92,bristol_bay,red_king_crab,1992,tot_legal,1078290.6206896552,6980795.928525825
TR92,bristol_bay,red_king_crab,1992,female,2309196.4482758623,4357044.340680113
TR93,bristol_bay,red_king_crab,1993,sublegal,2692511.53046595,8314771.162092726
TR93,bristol_bay,red_king_crab,1993,tot_legal,2018699.8064516129,12666279.817054152
TR93,bristol_bay,red_king_crab,1993,female,2820617.818996416,6925787.7743848795
TR96,bristol_bay,red_king_crab,1996,sublegal,574436.9761904762,1735048.1345735176
TR96,bristol_bay,red_king_crab,1996,tot_legal,1057110.857142857,6742095.795444799
TR96,bristol_bay,red_king_crab,1996,female,10093.940476190477,11190.600895088874
TR97,bristol_bay,red_king_crab,1997,sublegal,709678.8245033112,2072640.886928425
TR97,bristol_bay,red_king_crab,1997,tot_legal,962575.4221854304,6214196.192585264
TR97,bristol_bay,red_king_crab,1997,female,141603.99834437086,402821.5229673166
TR98,bristol_bay,red_king_crab,1998,sublegal,4968437.873310811,16396625.774834419
TR98,bristol_bay,red_king_crab,1998,tot_legal,2766860.5185810807,18094345.723297
TR98,bristol_bay,red_king_crab,1998,female,2519041.560810811,6105238.729925284
TR99,bristol_bay,red_king_crab,1999,sublegal,1026938.6394557824,3920867.7964345724
TR99,bristol_bay,red_king_crab,1999,tot_legal,3608514.93877551,22782282.207813125
TR99,bristol_bay,red_king_crab,1999,female,19544.408163265307,61708.60024317448
TR00,bristol_bay,red_king_crab,2000,sublegal,1460847.949137148,4271269.867848161
TR00,bristol_bay,red_king_crab,2000,tot_legal,1630683.2188919163,10234580.03546965
TR00,bristol_bay,red_king_crab,2000,female,800503.4695731153,1812061.0133114415
TR01,bristol_bay,red_king_crab,2001,sublegal,1304249.2818181817,3736631.2118511507
TR01,bristol_bay,red_king_crab,2001,tot_legal,1379716.809090909,8855076.189389594
TR01,bristol_bay,red_king_crab,2001,female,555254.3606060606,1331612.354172962
TR02,bristol_bay,red_king_crab,2002,sublegal,1577621.6585365855,5019246.156302645
TR02,bristol_bay,red_king_crab,2002,tot_legal,1626750.3848238483,10327956.513461018
TR02,bristol_bay,red_king_crab,2002,female,70155.82113821138,100485.5082419495
TR03,bristol_bay,red_king_crab,2003,sublegal,3200791.084158416,9142676.843506483
TR03,bristol_bay,red_king_crab,2003,tot_legal,2870097.2772277226,17679754.955400594
TR03,bristol_bay,red_king_crab,2003,female,1727518.8762376236,3933859.0750247035
TR04,bristol_bay,red_king_crab,2004,sublegal,2254250.8083989504,5555341.662826362
TR04,bristol_bay,red_king_crab,2004,tot_legal,2714171.2677165354,18016526.0372202
TR04,bristol_bay,red_king_crab,2004,female,854119.6942257218,1894136.9105858512
TR05,bristol_bay,red_king_crab,2005,sublegal,2765531.514824798,8661456.368511189
TR05,bristol_bay,red_king_crab,2005,tot_legal,3178639.9568733154,21356490.10902887
TR05,bristol_bay,red_king_crab,2005,female,1682031.0943396227,4468953.047749214
TR06,bristol_bay,red_king_crab,2006,sublegal,1719941.4841389728,5453485.104418246
TR06,bristol_bay,red_king_crab,2006,tot_legal,2355018.787764351,14948042.388097433
TR06,bristol_bay,red_king_crab,2006,female,221622.96072507554,413153.86894053355
TR07,bristol_bay,red_king_crab,2007,sublegal,3393278.1627084385,10018496.784052733
TR07,bristol_bay,red_king_crab,2007,tot_legal,3267468.9762506317,20563873.999964435
TR07,bristol_bay,red_king_crab,2007,female,731650.953006569,1762294.845124159
TR08,bristol_bay,red_king_crab,2008,sublegal,3701102.818280151,12215619.299205694
TR08,bristol_bay,red_king_crab,2008,tot_legal,3135375.898323418,20624295.504344206
TR08,bristol_bay,red_king_crab,2008,female,661238.2742022715,1593935.730565546
TR09,bristol_bay,red_king_crab,2009,sublegal,2967657.4418604653,10164246.840286713
TR09,bristol_bay,red_king_crab,2009,tot_legal,2706022.8449612404,16766498.12258171
TR09,bristol_bay,red_king_crab,2009,female,350560.31346899224,972384.4755284403
TR10,bristol_bay,red_king_crab,2010,sublegal,2471555.9597315434,8553574.054333339
TR10,bristol_bay,red_king_crab,2010,tot_legal,2258234.2983995867,13695769.511382148
TR10,bristol_bay,red_king_crab,2010,female,470249.38203407335,1305675.9297125274
TR11,bristol_bay,red_king_crab,2011,sublegal,1251429.3333333333,4164918.9782548174
TR11,bristol_bay,red_king_crab,2011,tot_legal,1387249.0709504685,8332379.205415736
TR11,bristol_bay,red_king_crab,2011,female,118351.94645247658,274817.3896507973
TR12,bristol_bay,red_king_crab,2012,sublegal,578268.5042372881,1920634.7045636352
TR12,bristol_bay,red_king_crab,2012,tot_legal,1192251.8983050848,8014355.922409855
TR12,bristol_bay,red_king_crab,2012,female,46412.898305084746,122971.64560862831
TR13,bristol_bay,red_king_crab,2013,sublegal,887951.3309248555,2857223.587856613
TR13,bristol_bay,red_king_crab,2013,tot_legal,1301125.7427745664,8866698.017600441
TR13,bristol_bay,red_king_crab,2013,female,409134.90317919076,1080755.4995577948
TR14,bristol_bay,red_king_crab,2014,sublegal,1147051.6129032257,3966055.0809760736
TR14,bristol_bay,red_king_crab,2014,tot_legal,2082962.1415770608,13921876.853289144
TR14,bristol_bay,red_king_crab,2014,female,275900.67204301077,935405.1989641542
TR15,bristol_bay,red_king_crab,2015,sublegal,818253.8571428572,2745051.34379083
TR15,bristol_bay,red_king_crab,2015,tot_legal,1819663.6857142856,12102882.784014143
TR15,bristol_bay,red_king_crab,2015,female,799498.857142857,2630032.057435475
TR16,bristol_bay,red_king_crab,2016,sublegal,676982.3399558498,2112469.229322832
TR16,bristol_bay,red_king_crab,2016,tot_legal,1551087.0993377485,10347611.224738836
TR16,bristol_bay,red_king_crab,2016,female,432823.55849889625,1360603.0695579902
