fishery,management_area,target,opening_year,sex,size,molting,soft,new,old,unknown,total
TT06,bristol_bay,tanner_crab,2006,female,83,0,0,1,0,0,1
TT06,bristol_bay,tanner_crab,2006,female,110,0,0,1,0,0,1
TT06,bristol_bay,tanner_crab,2006,female,112,0,0,1,0,0,1
TT06,bristol_bay,tanner_crab,2006,female,116,0,0,1,0,0,1
TT07,bristol_bay,tanner_crab,2007,female,94,0,0,1,0,0,1
TT07,bristol_bay,tanner_crab,2007,female,95,0,0,1,0,0,1
TT07,bristol_bay,tanner_crab,2007,female,96,0,0,2,0,0,2
TT07,bristol_bay,tanner_crab,2007,female,97,0,0,2,0,0,2
TT07,bristol_bay,tanner_crab,2007,female,98,0,0,2,0,0,2
TT07,bristol_bay,tanner_crab,2007,female,99,0,0,2,0,0,2
TT07,bristol_bay,tanner_crab,2007,female,100,0,0,2,0,0,2
TT07,bristol_bay,tanner_crab,2007,female,101,0,0,4,0,0,4
TT07,bristol_bay,tanner_crab,2007,female,102,0,0,3,0,0,3
TT07,bristol_bay,tanner_crab,2007,female,103,0,0,2,0,0,2
TT07,bristol_bay,tanner_crab,2007,female,104,0,0,1,0,0,1
TT07,bristol_bay,tanner_crab,2007,female,105,0,0,3,0,0,3
TT07,bristol_bay,tanner_crab,2007,female,106,0,0,4,0,0,4
TT07,bristol_bay,tanner_crab,2007,female,107,0,0,1,0,0,1
TT07,bristol_bay,tanner_crab,2007,female,108,0,0,2,0,0,2
TT07,bristol_bay,tanner_crab,2007,female,109,0,0,3,0,0,3
TT07,bristol_bay,tanner_crab,2007,female,110,0,0,1,0,0,1
TT07,bristol_bay,tanner_crab,2007,female,111,0,0,2,0,0,2
TT07,bristol_bay,tanner_crab,2007,female,112,0,0,2,0,0,2
TT07,bristol_bay,tanner_crab,2007,female,113,0,0,1,0,0,1
TT07,bristol_bay,tanner_crab,2007,female,114,0,0,1,0,0,1
TT07,bristol_bay,tanner_crab,2007,female,115,0,0,1,0,0,1
TT07,bristol_bay,tanner_crab,2007,female,117,0,0,1,0,0,1
TT07,bristol_bay,tanner_crab,2007,female,118,0,0,2,0,0,2
TT07,bristol_bay,tanner_crab,2007,female,121,0,0,1,0,0,1
TT07,bristol_bay,tanner_crab,2007,female,122,0,0,1,0,0,1
TT08,bristol_bay,tanner_crab,2008,female,93,0,0,1,0,0,1
TT08,bristol_bay,tanner_crab,2008,female,99,0,0,1,0,0,1
TT08,bristol_bay,tanner_crab,2008,female,102,0,0,1,0,0,1
TT08,bristol_bay,tanner_crab,2008,female,104,0,0,1,0,0,1
TT08,bristol_bay,tanner_crab,2008,female,105,0,0,2,0,0,2
TT08,bristol_bay,tanner_crab,2008,female,107,0,0,2,0,0,2
TT08,bristol_bay,tanner_crab,2008,female,108,0,0,5,0,0,5
TT08,bristol_bay,tanner_crab,2008,female,110,0,0,1,0,0,1
TT08,bristol_bay,tanner_crab,2008,female,111,0,0,2,0,0,2
TT08,bristol_bay,tanner_crab,2008,female,112,0,0,3,0,0,3
TT08,bristol_bay,tanner_crab,2008,female,113,0,0,1,0,0,1
TT08,bristol_bay,tanner_crab,2008,female,114,0,0,1,0,0,1
TT08,bristol_bay,tanner_crab,2008,female,115,0,0,0,1,0,1
TT08,bristol_bay,tanner_crab,2008,female,116,0,0,2,1,0,3
