fishery,management_area,target,opening_year,sex,size,soft,new,old,very_old,unknown,total
TT13,bristol_bay,tanner_crab,2013,male,135,0,2,0,0,0,2
TT13,bristol_bay,tanner_crab,2013,male,137,0,1,0,0,0,1
TT13,bristol_bay,tanner_crab,2013,male,138,0,1,0,0,0,1
TT14,bristol_bay,tanner_crab,2014,male,79,0,1,0,0,0,1
TT14,bristol_bay,tanner_crab,2014,male,86,0,2,0,0,0,2
TT14,bristol_bay,tanner_crab,2014,male,87,0,1,0,0,0,1
TT14,bristol_bay,tanner_crab,2014,male,88,0,1,0,0,0,1
TT14,bristol_bay,tanner_crab,2014,male,89,0,1,0,0,0,1
TT14,bristol_bay,tanner_crab,2014,male,90,0,1,0,0,0,1
TT14,bristol_bay,tanner_crab,2014,male,91,0,1,0,0,0,1
TT14,bristol_bay,tanner_crab,2014,male,92,0,2,0,0,0,2
TT14,bristol_bay,tanner_crab,2014,male,94,0,1,0,0,0,1
TT14,bristol_bay,tanner_crab,2014,male,96,0,1,0,0,0,1
TT14,bristol_bay,tanner_crab,2014,male,97,0,2,0,0,0,2
TT14,bristol_bay,tanner_crab,2014,male,98,0,3,0,0,0,3
TT14,bristol_bay,tanner_crab,2014,male,99,0,2,0,0,0,2
TT14,bristol_bay,tanner_crab,2014,male,100,0,2,0,0,0,2
TT14,bristol_bay,tanner_crab,2014,male,101,0,2,0,0,0,2
TT14,bristol_bay,tanner_crab,2014,male,102,0,3,0,0,0,3
TT14,bristol_bay,tanner_crab,2014,male,103,0,1,1,0,0,2
TT14,bristol_bay,tanner_crab,2014,male,104,0,3,0,0,0,3
TT14,bristol_bay,tanner_crab,2014,male,105,0,2,1,0,0,3
TT14,bristol_bay,tanner_crab,2014,male,107,0,3,0,0,0,3
TT14,bristol_bay,tanner_crab,2014,male,108,0,2,0,0,0,2
TT14,bristol_bay,tanner_crab,2014,male,109,0,2,0,0,0,2
TT14,bristol_bay,tanner_crab,2014,male,110,0,5,0,0,0,5
TT14,bristol_bay,tanner_crab,2014,male,111,0,4,0,0,0,4
TT14,bristol_bay,tanner_crab,2014,male,112,0,5,0,0,0,5
TT14,bristol_bay,tanner_crab,2014,male,113,0,2,0,0,0,2
TT14,bristol_bay,tanner_crab,2014,male,114,0,4,0,0,0,4
TT14,bristol_bay,tanner_crab,2014,male,115,0,5,1,0,0,6
TT14,bristol_bay,tanner_crab,2014,male,116,0,1,0,0,0,1
TT14,bristol_bay,tanner_crab,2014,male,117,0,2,0,0,0,2
TT14,bristol_bay,tanner_crab,2014,male,118,0,3,0,0,0,3
TT14,bristol_bay,tanner_crab,2014,male,119,0,2,0,0,0,2
TT14,bristol_bay,tanner_crab,2014,male,120,0,1,0,0,0,1
TT14,bristol_bay,tanner_crab,2014,male,121,0,3,2,0,0,5
TT14,bristol_bay,tanner_crab,2014,male,122,0,3,0,0,0,3
TT14,bristol_bay,tanner_crab,2014,male,123,0,4,0,0,0,4
TT14,bristol_bay,tanner_crab,2014,male,124,0,4,0,0,0,4
TT14,bristol_bay,tanner_crab,2014,male,125,0,4,0,0,0,4
TT14,bristol_bay,tanner_crab,2014,male,126,0,3,0,0,0,3
TT14,bristol_bay,tanner_crab,2014,male,127,0,4,0,0,0,4
TT14,bristol_bay,tanner_crab,2014,male,128,0,3,0,0,0,3
TT14,bristol_bay,tanner_crab,2014,male,129,0,6,0,0,0,6
TT14,bristol_bay,tanner_crab,2014,male,130,0,5,0,0,0,5
TT14,bristol_bay,tanner_crab,2014,male,131,0,3,0,0,0,3
TT14,bristol_bay,tanner_crab,2014,male,132,0,5,1,0,0,6
TT14,bristol_bay,tanner_crab,2014,male,133,0,4,0,0,0,4
TT14,bristol_bay,tanner_crab,2014,male,134,0,2,0,0,0,2
TT14,bristol_bay,tanner_crab,2014,male,135,0,2,0,0,0,2
TT14,bristol_bay,tanner_crab,2014,male,136,0,1,0,0,0,1
TT14,bristol_bay,tanner_crab,2014,male,137,0,1,0,0,0,1
TT14,bristol_bay,tanner_crab,2014,male,138,0,1,0,0,0,1
TT14,bristol_bay,tanner_crab,2014,male,139,0,2,0,0,0,2
TT15,bristol_bay,tanner_crab,2015,male,58,0,1,0,0,0,1
TT15,bristol_bay,tanner_crab,2015,male,59,0,1,0,0,0,1
TT15,bristol_bay,tanner_crab,2015,male,60,0,1,0,0,0,1
TT15,bristol_bay,tanner_crab,2015,male,62,0,2,0,0,0,2
TT15,bristol_bay,tanner_crab,2015,male,66,0,1,0,0,0,1
TT15,bristol_bay,tanner_crab,2015,male,68,0,3,0,0,0,3
TT15,bristol_bay,tanner_crab,2015,male,69,0,1,0,0,0,1
TT15,bristol_bay,tanner_crab,2015,male,70,0,1,0,0,0,1
TT15,bristol_bay,tanner_crab,2015,male,72,0,3,0,0,0,3
