fishery,management_area,target,opening_year,sex,size,molting,soft,new_pliable,new,old,very_old,unknown,total
TR00,bristol_bay,red_king_crab,2000,male,121,0,0,0,1,0,0,0,1
TR00,bristol_bay,red_king_crab,2000,male,122,0,0,0,1,0,0,0,1
TR00,bristol_bay,red_king_crab,2000,male,126,0,0,0,1,0,0,0,1
TR00,bristol_bay,red_king_crab,2000,male,127,0,0,0,1,1,0,0,2
TR00,bristol_bay,red_king_crab,2000,male,129,0,0,0,1,1,0,0,2
TR00,bristol_bay,red_king_crab,2000,male,130,0,0,0,4,1,0,0,5
TR00,bristol_bay,red_king_crab,2000,male,131,0,0,0,2,0,0,0,2
TR00,bristol_bay,red_king_crab,2000,male,132,0,0,0,26,6,0,0,32
TR00,bristol_bay,red_king_crab,2000,male,133,0,0,0,25,5,0,0,30
TR00,bristol_bay,red_king_crab,2000,male,134,0,0,0,71,21,0,0,92
TR00,bristol_bay,red_king_crab,2000,male,135,0,0,0,129,58,2,0,189
TR00,bristol_bay,red_king_crab,2000,male,136,0,0,1,167,68,2,0,238
TR00,bristol_bay,red_king_crab,2000,male,137,0,0,0,259,68,6,0,333
TR00,bristol_bay,red_king_crab,2000,male,138,0,0,0,293,154,5,0,452
TR00,bristol_bay,red_king_crab,2000,male,139,0,0,1,329,120,9,0,459
TR00,bristol_bay,red_king_crab,2000,male,140,0,0,1,476,206,4,0,687
TR00,bristol_bay,red_king_crab,2000,male,141,0,0,0,399,172,11,0,582
TR00,bristol_bay,red_king_crab,2000,male,142,0,0,0,549,220,10,0,779
TR00,bristol_bay,red_king_crab,2000,male,143,0,0,1,511,183,15,0,710
TR00,bristol_bay,red_king_crab,2000,male,144,0,0,0,428,176,10,0,614
TR00,bristol_bay,red_king_crab,2000,male,145,0,0,0,542,217,18,0,777
TR00,bristol_bay,red_king_crab,2000,male,146,0,0,0,478,178,11,0,667
TR00,bristol_bay,red_king_crab,2000,male,147,0,0,0,578,199,19,0,796
