year,V3,recovery,FishMort
1,1,0,F = 0
1,2,0,F = 0.18
2,1,0,F = 0
2,2,0,F = 0.18
3,1,3.6999999999999997,F = 0
3,2,2.7,F = 0.18
4,1,15.35,F = 0
4,2,10.299999999999999,F = 0.18
5,1,30.3,F = 0
5,2,20.599999999999998,F = 0.18
6,1,44.3,F = 0
6,2,28.050000000000004,F = 0.18
7,1,56.95,F = 0
7,2,35.5,F = 0.18
8,1,65.35,F = 0
8,2,39.85,F = 0.18
9,1,72.95,F = 0
9,2,44.45,F = 0.18
10,1,77.95,F = 0
10,2,46.1,F = 0.18
11,1,82.3,F = 0
11,2,49.75,F = 0.18
12,1,85.05,F = 0
12,2,50.05,F = 0.18
13,1,87.85,F = 0
13,2,50.4,F = 0.18
14,1,89.5,F = 0
14,2,52.400000000000006,F = 0.18
15,1,90.4,F = 0
15,2,52.800000000000004,F = 0.18
16,1,91.3,F = 0
16,2,53.449999999999996,F = 0.18
17,1,91.95,F = 0
17,2,53.25,F = 0.18
18,1,92.85,F = 0
18,2,52.7,F = 0.18
19,1,94.1,F = 0
19,2,53.6,F = 0.18
20,1,94.39999999999999,F = 0
20,2,53.800000000000004,F = 0.18
21,1,93.8,F = 0
21,2,54.449999999999996,F = 0.18
22,1,94,F = 0
22,2,53.400000000000006,F = 0.18
23,1,94.6,F = 0
23,2,54.6,F = 0.18
24,1,94.19999999999999,F = 0
24,2,55.400000000000006,F = 0.18
25,1,94.55,F = 0
25,2,54.65,F = 0.18
26,1,94.65,F = 0
26,2,54.400000000000006,F = 0.18
27,1,93.95,F = 0
27,2,53.65,F = 0.18
28,1,94.3,F = 0
28,2,53.1,F = 0.18
29,1,94.25,F = 0
29,2,53.400000000000006,F = 0.18
30,1,94.5,F = 0
30,2,54.25,F = 0.18
31,1,95.05,F = 0
31,2,55.45,F = 0.18
32,1,95.3,F = 0
32,2,55.95,F = 0.18
33,1,94.65,F = 0
33,2,55.15,F = 0.18
34,1,95.15,F = 0
34,2,54.50000000000001,F = 0.18
35,1,95.05,F = 0
35,2,54.85,F = 0.18
36,1,95.35,F = 0
36,2,54.6,F = 0.18
37,1,95.25,F = 0
37,2,54.6,F = 0.18
38,1,94.65,F = 0
38,2,54.300000000000004,F = 0.18
39,1,94.35,F = 0
39,2,53.949999999999996,F = 0.18
40,1,94.89999999999999,F = 0
40,2,52.75,F = 0.18
41,1,94.5,F = 0
41,2,54.35,F = 0.18
42,1,95.15,F = 0
42,2,54.2,F = 0.18
43,1,95.1,F = 0
43,2,53.400000000000006,F = 0.18
44,1,94.45,F = 0
44,2,54.25,F = 0.18
45,1,94.3,F = 0
45,2,55.2,F = 0.18
46,1,95.05,F = 0
46,2,54.900000000000006,F = 0.18
47,1,94.75,F = 0
47,2,55.300000000000004,F = 0.18
48,1,94.95,F = 0
48,2,55.00000000000001,F = 0.18
49,1,94.85,F = 0
49,2,55.300000000000004,F = 0.18
50,1,95.35,F = 0
50,2,54.7,F = 0.18
