year,V3,recovery,FishMort
1,1,0,F = 0
1,2,0,F = 0.18
2,1,0,F = 0
2,2,0,F = 0.18
3,1,0,F = 0
3,2,0,F = 0.18
4,1,0.1,F = 0
4,2,0,F = 0.18
5,1,0.5499999999999999,F = 0
5,2,0,F = 0.18
6,1,1.6,F = 0
6,2,0.05,F = 0.18
7,1,3.2,F = 0
7,2,0.05,F = 0.18
8,1,5.3,F = 0
8,2,0.05,F = 0.18
9,1,8.1,F = 0
9,2,0.2,F = 0.18
10,1,10.9,F = 0
10,2,0.15,F = 0.18
11,1,13.4,F = 0
11,2,0.05,F = 0.18
12,1,19.05,F = 0
12,2,0.05,F = 0.18
13,1,26.35,F = 0
13,2,0.15,F = 0.18
14,1,39,F = 0
14,2,0.44999999999999996,F = 0.18
15,1,51.65,F = 0
15,2,0.5499999999999999,F = 0.18
16,1,64.1,F = 0
16,2,0.65,F = 0.18
17,1,73.9,F = 0
17,2,0.95,F = 0.18
18,1,81.65,F = 0
18,2,1,F = 0.18
19,1,87.55,F = 0
19,2,1.4500000000000002,F = 0.18
20,1,90.60000000000001,F = 0
20,2,1.8499999999999999,F = 0.18
21,1,94.1,F = 0
21,2,1.7000000000000002,F = 0.18
22,1,95.75,F = 0
22,2,1.6,F = 0.18
23,1,96.85000000000001,F = 0
23,2,2,F = 0.18
24,1,97.6,F = 0
24,2,2.1999999999999997,F = 0.18
25,1,98.6,F = 0
25,2,3.4000000000000004,F = 0.18
26,1,99,F = 0
26,2,3.35,F = 0.18
27,1,99.75,F = 0
27,2,3.5999999999999996,F = 0.18
28,1,99.8,F = 0
28,2,4.55,F = 0.18
29,1,99.75,F = 0
29,2,5.55,F = 0.18
30,1,99.9,F = 0
30,2,6.15,F = 0.18
31,1,99.9,F = 0
31,2,6.75,F = 0.18
32,1,99.95,F = 0
32,2,7.8,F = 0.18
33,1,99.95,F = 0
33,2,7.6499999999999995,F = 0.18
34,1,100,F = 0
34,2,8.05,F = 0.18
35,1,99.95,F = 0
35,2,8.55,F = 0.18
36,1,100,F = 0
36,2,9.45,F = 0.18
37,1,100,F = 0
37,2,9.950000000000001,F = 0.18
38,1,100,F = 0
38,2,11.3,F = 0.18
39,1,100,F = 0
39,2,11.95,F = 0.18
40,1,100,F = 0
40,2,12.25,F = 0.18
41,1,100,F = 0
41,2,13.15,F = 0.18
42,1,100,F = 0
42,2,14.649999999999999,F = 0.18
43,1,100,F = 0
43,2,16.1,F = 0.18
44,1,100,F = 0
44,2,17.1,F = 0.18
45,1,100,F = 0
45,2,17,F = 0.18
46,1,100,F = 0
46,2,16.55,F = 0.18
47,1,100,F = 0
47,2,17.2,F = 0.18
48,1,100,F = 0
48,2,18.05,F = 0.18
49,1,100,F = 0
49,2,18.8,F = 0.18
50,1,100,F = 0
50,2,19.650000000000002,F = 0.18
