"Year","$n_1$","$n_2$","$n_3$","MMB","CV MMB"
1978,3149900.9506,2026112.5698,1691807.503,4626.6413,0.177413401699875
1979,4406951.5315,2386335.4718,2320120.4037,6530.5721,0.123254190889364
1980,3777269.2776,3285078.3721,3513392.2795,10382.2044,0.0833964851942854
1981,1439120.9897,3229330.766,4921921.8123,10815.6113,0.0626385358508681
1982,1622786.4975,1836079.5801,4944196.8819,7698.4318,0.0720674709638893
1983,821365.5763,1450606.7125,3510768.5954,4623.2445,0.0993993662571842
1984,671941.013,865303.1066,2019469.2551,3097.3425,0.123669871836226
1985,943457.2525,630172.391,1441281.7725,2736.2185,0.143198459386397
1986,1387168.8534,717248.2447,1221155.7921,2677.8558,0.138612026486341
1987,1347380.9339,1004912.3988,1314785.458,3160.6365,0.126831824639183
1988,1251502.5478,1076402.5756,1524570.623,3449.7788,0.123388989480024
1989,2889897.8306,1044523.745,1679883.4955,3942.5273,0.118468121025418
1990,1869764.6076,1956051.2728,1979669.9842,5041.957,0.0929232640443356
1991,1933011.1896,1669652.8707,2453269.0344,5049.3945,0.0943274788283375
1992,2082016.5686,1589639.2364,2406643.4521,5216.4025,0.0856892079180578
1993,2341075.1245,1662863.74,2511681.8059,5447.2634,0.0781331708841886
1994,1585169.1516,1823738.5369,2578928.2586,5185.885,0.0727012501025173
1995,1852863.8437,1441917.3045,2463117.849,5033.0426,0.0738485808779159
1996,1740307.5729,1479903.1194,2356653.2738,4812.9116,0.0755691894355297
1997,902301.8627,1427751.3208,2278132.3483,4172.3482,0.0956315993052101
1998,639111.3797,928069.0279,1850725.7729,2741.4351,0.112344555608456
1999,372911.2947,318596.6916,713616.0005,1692.655,0.104680331106389
2000,414885.9343,317063.9974,791943.9973,1837.7165,0.086987382026064
2001,376658.8394,340464.8696,860780.0686,1992.6358,0.0786205972274832
2002,131969.7244,326484.1237,926345.9153,2099.4051,0.0736918104296289
2003,297532.6386,182946.0094,950670.0895,1982.4091,0.0750906676252303
2004,213183.0691,229387.4472,914205.1726,1967.5128,0.0743598544758766
2005,475801.0104,196959.8556,899500.5878,1903.2048,0.0746338511718621
2006,721959.3749,335306.7255,895860.295,2050.7766,0.0771535931174003
2007,456686.8449,520405.6792,985267.0257,2396.6229,0.0766140743279902
2008,852808.161,425832.2562,1113936.8542,2560.1295,0.0619299922730074
2009,597965.697,624586.6845,1225354.3068,2600.1736,0.0577626818447921
2010,574486.6749,535464.1261,1292414.0422,2136.4481,0.0601781923645106
2011,436290.9011,474744.8712,1108376.1285,1500.455,0.0733611642741385
2012,214021.9484,361715.7472,768850.1369,912.9608,0.115017388658617
2013,241595.9989,206596.4866,463647.0559,1049.3485,0.102553661812297
2014,151448.9288,205539.412,514426.2423,982.9126,0.11125499191737
2015,167400.2076,149336.118,481169.9581,935.6993,0.112311185772338
2016,268617.0207,142862.6561,469731.6871,990.9807,0.109189978690048
2017,163496.2139,199674.5267,489663.0659,1085.8331,0.107627122892359
2018,122408.6121,158547.8651,524010.0422,1052.78745192,0.10464893979124
