,year,FishMort,q0.05,q0.25,q0.50,q0.75,q0.95,Bmsy
57,29,F = 0,4687.622,5768.98,6642.795,7634.3975,9227.0725,3472.41123
59,30,F = 0,4822.172,5878.8375,6818.29,7848.53,9545.938,3472.41123
61,31,F = 0,5027.9795,6039.28,6951.545,7967.08,9790.392,3472.41123
63,32,F = 0,5109.1075,6174.9125,7139.7,8130.705,9964.6185,3472.41123
65,33,F = 0,5166.5385,6283.465,7231.64,8251.725,9953.3525,3472.41123
67,34,F = 0,5243.4695,6391.6525,7327.3,8334.12,10099.835,3472.41123
69,35,F = 0,5295.01,6420.8425,7396.02,8375.2,10144.305,3472.41123
71,36,F = 0,5392.288,6534.4125,7456.065,8486.4875,10319.71,3472.41123
73,37,F = 0,5456.5945,6588.3625,7506.645,8522.6175,10453.57,3472.41123
75,38,F = 0,5571.5595,6607.1525,7553.595,8578.8875,10479.575,3472.41123
77,39,F = 0,5601.882,6663.0325,7578.185,8655.245,10541.685,3472.41123
79,40,F = 0,5624.863,6728.0375,7609.005,8646.945,10452.57,3472.41123
81,41,F = 0,5729.3045,6752.975,7631.755,8704.8375,10578.385,3472.41123
83,42,F = 0,5753.4165,6788.1475,7646.57,8719.1,10580.77,3472.41123
85,43,F = 0,5810.384,6756.9175,7680.7,8735.7525,10564.355,3472.41123
87,44,F = 0,5807.631,6847.3125,7674.66,8749.495,10569.9,3472.41123
89,45,F = 0,5814.88,6840.63,7689.305,8718.55,10675.925,3472.41123
91,46,F = 0,5826.242,6897.74,7690.99,8700.12,10573.83,3472.41123
93,47,F = 0,5802.865,6865.88,7695.93,8682.535,10544.825,3472.41123
95,48,F = 0,5818.5565,6851.4475,7693.6,8652.7025,10562.085,3472.41123
97,49,F = 0,5820.231,6854.07,7663.61,8684.1575,10564.605,3472.41123
99,50,F = 0,5753.095,6809.7425,7642.36,8737.1475,10505.805,3472.41123
2,1,F = SHS,946.79255,1034.9375,1100.835,1178.8575,1303.487,3472.41123
4,2,F = SHS,975.64995,1085.1375,1166.05,1257.3375,1400.375,3472.41123
6,3,F = SHS,1064.026,1221.21,1355.42,1523.25,1868.4155,3472.41123
8,4,F = SHS,1191.384,1403.2075,1609.685,1856.1475,2260.5965,3472.41123
10,5,F = SHS,1338.727,1618.305,1853.215,2140.8075,2519.4845,3472.41123
12,6,F = SHS,1453.1535,1805.7775,2081.42,2298.7625,2668.2535,3472.41123
14,7,F = SHS,1583.02,1974.1075,2227.905,2398.7975,2835.5935,3472.41123
16,8,F = SHS,1716.004,2111.6775,2295.76,2472.6225,2944.805,3472.41123
18,9,F = SHS,1832.567,2161.9025,2332.225,2526.785,2988.4055,3472.41123
20,10,F = SHS,1902.173,2204.3725,2344.785,2533.4625,3029.185,3472.41123
22,11,F = SHS,1949.605,2237.115,2368.24,2565.7225,3043.1815,3472.41123
24,12,F = SHS,1997.7315,2268.9575,2417.555,2652.55,3144.4915,3472.41123
26,13,F = SHS,2114.55,2330.1675,2501.98,2786.7375,3374.6075,3472.41123
28,14,F = SHS,2189.2365,2393.73,2612.75,2940.51,3527.087,3472.41123
30,15,F = SHS,2241.9185,2469.75,2742.63,3094.095,3751.5545,3472.41123
32,16,F = SHS,2288.9595,2549.36,2862.35,3260.095,3986.17,3472.41123
34,17,F = SHS,2317.785,2648.035,2963.405,3383.9475,4187.056,3472.41123
36,18,F = SHS,2369.615,2709.22,3060.075,3458.05,4309.108,3472.41123
38,19,F = SHS,2402.4385,2793.8775,3122.885,3520.26,4397.625,3472.41123
40,20,F = SHS,2431.695,2830.0075,3167.125,3610.4475,4536.2625,3472.41123
42,21,F = SHS,2478.9645,2863.12,3221.285,3669.925,4541.1815,3472.41123
44,22,F = SHS,2490.9825,2917.365,3278.36,3732.915,4642.344,3472.41123
46,23,F = SHS,2501.918,2988.4625,3331.88,3797,4753.0915,3472.41123
48,24,F = SHS,2543.9855,3016.8975,3374.34,3876.6125,4896.1405,3472.41123
50,25,F = SHS,2579.7735,3052.805,3439.475,3933.78,5024.7015,3472.41123
52,26,F = SHS,2616.6615,3117.99,3513.055,4021.455,5124.0485,3472.41123
54,27,F = SHS,2672.2125,3175.6625,3544.06,4074.6825,5169.3785,3472.41123
56,28,F = SHS,2714.4665,3225.2075,3623.21,4140.645,5128.495,3472.41123
58,29,F = SHS,2756.85,3261.66,3639.65,4192.775,5252.0555,3472.41123
60,30,F = SHS,2821.7145,3279.61,3691.63,4244.0125,5383.2655,3472.41123
62,31,F = SHS,2859.619,3310.67,3748.995,4302.64,5463.992,3472.41123
64,32,F = SHS,2870.7765,3325.875,3774.405,4360.7325,5482.6455,3472.41123
66,33,F = SHS,2852.377,3357.065,3809.82,4417.4625,5444.4745,3472.41123
68,34,F = SHS,2857.0535,3389.79,3830.3,4442.1125,5615.658,3472.41123
70,35,F = SHS,2871.1885,3392.18,3846.475,4428.4525,5621.9545,3472.41123
72,36,F = SHS,2864.266,3403.97,3845.92,4457.9125,5662.58,3472.41123
74,37,F = SHS,2915.2385,3414.31,3881.15,4505.3675,5757.2485,3472.41123
76,38,F = SHS,2942.8105,3439.91,3927.82,4530.0675,5741.846,3472.41123
78,39,F = SHS,2947.5305,3460.84,3946.61,4562.3875,5747.6125,3472.41123
80,40,F = SHS,2962.891,3489.9975,3932.355,4562.9925,5818.518,3472.41123
82,41,F = SHS,3007.7835,3498.95,3942.815,4576.8975,5833.3495,3472.41123
84,42,F = SHS,3016.8135,3496.7025,3982.73,4626.76,5878.7345,3472.41123
86,43,F = SHS,3001.3525,3507.4175,3985.94,4623.3975,5815.6235,3472.41123
88,44,F = SHS,3060.485,3530.12,3995.635,4652.9125,5924.3795,3472.41123
90,45,F = SHS,3037.0725,3532.42,4001.31,4668.4,5934.9005,3472.41123
92,46,F = SHS,3046.758,3549.12,4032.125,4666.1975,5915.956,3472.41123
94,47,F = SHS,3035.608,3545.395,4027.285,4633.0025,5928.455,3472.41123
96,48,F = SHS,3036.3665,3565.625,4021.015,4631.685,5825.2355,3472.41123
98,49,F = SHS,3030.2565,3566.74,4032.855,4661.94,5906.398,3472.41123
100,50,F = SHS,3047.689,3559.7575,4028.295,4687.5775,5926.849,3472.41123
