,year,FishMort,q0.05,q0.25,q0.50,q0.75,q0.95,Bmsy
1,1,F = 0,946.79255,1034.9375,1100.835,1178.8575,1303.487,3472.41123
3,2,F = 0,975.6509,1085.1375,1166.05,1257.3375,1400.375,3472.41123
5,3,F = 0,1064.026,1221.21,1355.42,1523.2525,1868.4155,3472.41123
7,4,F = 0,1191.384,1403.2075,1609.685,1856.15,2392.513,3472.41123
9,5,F = 0,1338.727,1618.305,1853.215,2181.9425,2816.0795,3472.41123
11,6,F = 0,1453.154,1805.785,2091.195,2455.7025,3116.6805,3472.41123
13,7,F = 0,1583.02,1975.3475,2300.415,2686.2175,3333.9885,3472.41123
15,8,F = 0,1716.004,2127.5175,2465.895,2867.795,3639.065,3472.41123
17,9,F = 0,1832.5765,2223.14,2572.475,3017.9825,3773.8255,3472.41123
19,10,F = 0,1902.7825,2306.56,2653.69,3116.8925,3912.593,3472.41123
21,11,F = 0,1966.2205,2384.175,2756.975,3234.0575,3967.767,3472.41123
23,12,F = 0,2021.588,2507.68,2894.15,3363.12,4180.5745,3472.41123
25,13,F = 0,2164.8425,2667.8075,3094.565,3603.835,4542.9945,3472.41123
27,14,F = 0,2333.893,2857.07,3310.895,3880.5875,4839.936,3472.41123
29,15,F = 0,2493.7035,3097.64,3567.105,4212.535,5245.726,3472.41123
31,16,F = 0,2645.218,3299.32,3860.76,4530.03,5674.1595,3472.41123
33,17,F = 0,2783.2025,3513.8375,4119.325,4811.495,6163.5825,3472.41123
35,18,F = 0,2993.333,3696.7625,4337.67,5107.4525,6541.932,3472.41123
37,19,F = 0,3158.8045,3913.245,4561.255,5401.0725,6865.11,3472.41123
39,20,F = 0,3318.6705,4090.2,4819.27,5663.9575,7202.038,3472.41123
41,21,F = 0,3466.249,4252.5875,4990.45,5942.485,7426.3365,3472.41123
43,22,F = 0,3581.5705,4440.955,5205.295,6146.0575,7667.297,3472.41123
45,23,F = 0,3690.327,4643.5875,5463.02,6376.2775,7899.419,3472.41123
47,24,F = 0,3805.9985,4829.105,5642.795,6596.23,8241.014,3472.41123
49,25,F = 0,3951.9325,5005.835,5843.76,6822.47,8552.353,3472.41123
51,26,F = 0,4134.025,5215.1925,6088.62,7017.0525,8798.658,3472.41123
53,27,F = 0,4332.171,5396.4775,6286.26,7267.5275,8967.5885,3472.41123
55,28,F = 0,4494.569,5605.215,6476.05,7476.095,9136.67,3472.41123
