#========================================================================================================
# Gmacs Main  Data  File: EAG Model 23.1, final assessment
#========================================================================================================

1981  # initial (start year)
2023  # terminal (end year)
#2024  # Projection year (for forecast, OFL and ABC calculation)
6     # Number of seasons: season1 for N est, season 2 for Jul 1 to MidFishing, season 3 for inst.remove C, season 4 for to spawning time,Feb15, season 5 for inst remove byc&estimate MMB, season 6 for remaining time to June 30 and R enter
3     # Number of distinct data groups or number of fleets (pot fishing, groundfish fishing)
1     # Number of sexes (males)
1     # Number of shell condition types
1     # Number of maturity types
17     # Number of size-classes in the model
5     # Season when recruitment occurs,end of year before growth
5     # Season when molting and growth occur, end of year after recruitment
5     # Season to calculate MMB
6     # Season for  N output
# maximum size-class (males then females)
17
# size_breaks (a vector giving the break points between size intervals with dimension nclass+1, lower limits of bins)
100.5  105.5  110.5 115.5 120.5 125.5 130.5 135.5 140.5 145.5 150.5 155.5 160.5 165.5 170.5 175.5 180.5 185.5
# Natural mortality per season input type (1 = vector by season, 2 = matrix by season/year)
2
# Proportion of the total natural mortality to be applied each season (each row must add to 1)
# 1 Start biological year (Jul 1) instantaneous N estimation
# 2 to mid fishing time
# 3 instantanous C removal
# 4 to spawning time
# 5 instantaneous byc removal and estimate MMB
# 6 Rest of the period of non fishing from Feb 15 to June 30
#
#
#Ins N  Jul1-MidFish   Inst C     MidFish-15Feb   Ins byc    Rest upto end

0.00000000	0.43972603	0.00000000	0.18767123	0.37260274	0.00000000	#1981
0.00000000	0.48219178	0.00000000	0.14520548	0.37260274	0.00000000	#1982
0.00000000	0.48219178	0.00000000	0.14520548	0.37260274	0.00000000	#1983
0.00000000	0.31369863	0.00000000	0.31369863	0.37260274	0.00000000	#1984
0.00000000	0.16712329	0.00000000	0.46027397	0.37260274	0.00000000	#1985
0.00000000	0.25068493	0.00000000	0.37671233	0.37260274	0.00000000	#1986
0.00000000	0.08630137	0.00000000	0.54109589	0.37260274	0.00000000	#1987
0.00000000	0.29863014	0.00000000	0.32876712	0.37260274	0.00000000	#1988
0.00000000	0.39863014	0.00000000	0.22876712	0.37260274	0.00000000	#1989
0.00000000	0.26438356	0.00000000	0.36301370	0.37260274	0.00000000	#1990
0.00000000	0.27260274	0.00000000	0.35479452	0.37260274	0.00000000	#1991
0.00000000	0.27534247	0.00000000	0.35205479	0.37260274	0.00000000	#1992
0.00000000	0.41780822	0.00000000	0.20958904	0.37260274	0.00000000	#1993
0.00000000	0.24794521	0.00000000	0.37945205	0.37260274	0.00000000	#1994
0.00000000	0.22191781	0.00000000	0.40547945	0.37260274	0.00000000	#1995
0.00000000	0.32739726	0.00000000	0.30000000	0.37260274	0.00000000	#1996
0.00000000	0.28493151	0.00000000	0.34246575	0.37260274	0.00000000	#1997
0.00000000	0.26164384	0.00000000	0.36575342	0.37260274	0.00000000	#1998
0.00000000	0.24383562	0.00000000	0.38356164	0.37260274	0.00000000	#1999
0.00000000	0.17808219	0.00000000	0.44931507	0.37260274	0.00000000	#2000
0.00000000	0.15890411	0.00000000	0.46849315	0.37260274	0.00000000	#2001
0.00000000	0.15479452	0.00000000	0.47260274	0.37260274	0.00000000	#2002
0.00000000	0.15616438	0.00000000	0.47123288	0.37260274	0.00000000	#2003
0.00000000	0.14246575	0.00000000	0.48493151	0.37260274	0.00000000	#2004
0.00000000	0.49726027	0.00000000	0.13013699	0.37260274	0.00000000	#2005
0.00000000	0.49726027	0.00000000	0.13013699	0.37260274	0.00000000	#2006
0.00000000	0.49863014	0.00000000	0.12876712	0.37260274	0.00000000	#2007
0.00000000	0.49726027	0.00000000	0.13013699	0.37260274	0.00000000	#2008
0.00000000	0.49726027	0.00000000	0.13013699	0.37260274	0.00000000	#2009
0.00000000	0.49726027	0.00000000	0.13013699	0.37260274	0.00000000	#2010
0.00000000	0.49863014	0.00000000	0.12876712	0.37260274	0.00000000	#2011
0.00000000	0.49726027	0.00000000	0.13013699	0.37260274	0.00000000	#2012
0.00000000	0.49726027	0.00000000	0.13013699	0.37260274	0.00000000	#2013
0.00000000	0.49726027	0.00000000	0.13013699	0.37260274	0.00000000	#2014
0.00000000	0.45890411	0.00000000	0.16849315	0.37260274	0.00000000	#2015
0.00000000	0.45753425	0.00000000	0.16986301	0.37260274	0.00000000	#2016
0.00000000	0.45753425	0.00000000	0.16986301	0.37260274	0.00000000	#2017
0.00000000	0.45753425	0.00000000	0.16986301	0.37260274	0.00000000	#2018
0.00000000	0.43561644	0.00000000	0.19178082	0.37260274	0.00000000	#2019
0.00000000	0.45753425	0.00000000	0.16986301	0.37260274	0.00000000	#2020
0.00000000	0.41506849	0.00000000	0.21232877	0.37260274	0.00000000	#2021
0.00000000	0.40821918	0.00000000	0.21917808	0.37260274	0.00000000	#2022
0.00000000	0.44383562	0.00000000	0.18356164	0.37260274	0.00000000	#2023

# Fishing fleet names (delimited with : no spaces in names)
Directed_Fishery GF_Bycatch Coop_Survey
# Survey names (delimited with : no spaces in names) keep empty

# Are the seasons discrete-instantaneous (0) or continuous (1)
1 1 1 1 1 1
0 #--input format for catch data (0:old format; 1: new format)
# Number  of  catch data  frames
3
# Number  of  rows  in  each  data  frame
43 33 33
##  CATCH DATA in t
##  Type of catch: 1 = retained, 2 = discard, 0= total (retained+discard, slide says 3)
##  Units of catch: 1 = biomass, 2 = numbers
# Mult: 1= use data as thy are, 2 = multiply by this number (e.g., lbs to kg)

##  Retained Catch (numbers from 1981-1984; tonnes from 1985 onwards)
#year   seas    fleet   sex obs cv  type    units   mult    effort  discard_mortality
1981    3       1       1       203.968 0.0316  1       2       1       0       0.2
1982    3       1       1       529.787 0.0316  1       2       1       0       0.2
1983    3       1       1       662.28  0.0316  1       2       1       0       0.2
1984    3       1       1       801.1   0.0316  1       2       1       0       0.2
1985    3   1   1   2955.05 0.0316  1   1   1   0   0.2
1986    3   1   1   2686.36 0.0316  1   1   1   0   0.2
1987    3   1   1   2010.2  0.0316  1   1   1   0   0.2
1988    3   1   1   2335.44 0.0316  1   1   1   0   0.2
1989    3   1   1   2665.65 0.0316  1   1   1   0   0.2
1990    3   1   1   1688.08 0.0316  1   1   1   0   0.2
1991    3   1   1   2035.44 0.0316  1   1   1   0   0.2
1992    3   1   1   2111.62 0.0316  1   1   1   0   0.2
1993    3   1   1   1439.1  0.0316  1   1   1   0   0.2
1994    3   1   1   2044.33 0.0316  1   1   1   0   0.2
1995    3   1   1   2258.56 0.0316  1   1   1   0   0.2
1996    3   1   1   1737.91 0.0316  1   1   1   0   0.2
1997    3   1   1   1588.05 0.0316  1   1   1   0   0.2
1998    3   1   1   1473.2  0.0316  1   1   1   0   0.2
1999    3   1   1   1392.48 0.0316  1   1   1   0   0.2
2000    3   1   1   1421.59 0.0316  1   1   1   0   0.2
2001    3   1   1   1441.81 0.0316  1   1   1   0   0.2
2002    3   1   1   1279.97 0.0316  1   1   1   0   0.2
2003    3   1   1   1350.37 0.0316  1   1   1   0   0.2
2004    3   1   1   1309.44 0.0316  1   1   1   0   0.2
2005    3   1   1   1300.27 0.0316  1   1   1   0   0.2
2006    3   1   1   1357.15 0.0316  1   1   1   0   0.2
2007    3   1   1   1356.24 0.0316  1   1   1   0   0.2
2008    3   1   1   1426.29 0.0316  1   1   1   0   0.2
2009    3   1   1   1429.03 0.0316  1   1   1   0   0.2
2010    3   1   1   1427.99 0.0316  1   1   1   0   0.2
2011    3   1   1   1428.98 0.0316  1   1   1   0   0.2
2012    3   1   1   1503.71 0.0316  1   1   1   0   0.2
2013    3   1   1   1546.31 0.0316  1   1   1   0   0.2
2014    3   1   1   1554.02 0.0316  1   1   1   0   0.2
2015    3   1   1   1589.68 0.0316  1   1   1   0   0.2
2016    3   1   1   1578.29 0.0316  1   1   1   0   0.2
2017    3   1   1   1571.44 0.0316  1   1   1   0   0.2
2018    3   1   1   1829.9  0.0316  1   1   1   0   0.2
2019    3   1   1   2030.63 0.0316  1   1   1   0   0.2
2020    3   1   1   1733.23 0.0316  1   1   1   0   0.2
2021    3   1   1   1706.27 0.0316  1   1   1   0   0.2
2022    3   1   1   1584.87 0.0316  1   1   1   0   0.2
2023    3   1   1   1757.94 0.0316  1   1   1   0   0.2

## Total Catch (tonnes throughout)
#year   seas    fleet   sex obs cv  type    units   mult    effort  discard_mortality
1990	3	1	1	3520.69	0.284	0	1	1	0	0.2
1991	3	1	1	4017.13	0.27	0	1	1	0	0.2
1992	3	1	1	5118.18	0.277	0	1	1	0	0.2
1994	3	1	1	3974.38	0.529	0	1	1	0	0.2
1995	3	1	1	4657.69	0.049	0	1	1	0	0.2
1996	3	1	1	3208.46	0.045	0	1	1	0	0.2
1997	3	1	1	2897.39	0.053	0	1	1	0	0.2
1998	3	1	1	2951.25	0.058	0	1	1	0	0.2
1999	3	1	1	2541.17	0.059	0	1	1	0	0.2
2000	3	1	1	2591.51	0.048	0	1	1	0	0.2
2001	3	1	1	2153.61	0.05	0	1	1	0	0.2
2002	3	1	1	1870.92	0.054	0	1	1	0	0.2
2003	3	1	1	1854.05	0.054	0	1	1	0	0.2
2004	3	1	1	1670.44	0.072	0	1	1	0	0.2
2005	3	1	1	1620.39	0.094	0	1	1	0	0.2
2006	3	1	1	1616.62	0.097	0	1	1	0	0.2
2007	3	1	1	1754.94	0.102	0	1	1	0	0.2
2008	3	1	1	1773.78	0.13	0	1	1	0	0.2
2009	3	1	1	1792.53	0.16	0	1	1	0	0.2
2010	3	1	1	1701.54	0.155	0	1	1	0	0.2
2011	3	1	1	1800.52	0.169	0	1	1	0	0.2
2012	3	1	1	1946	0.153	0	1	1	0	0.2
2013	3	1	1	1854.06	0.141	0	1	1	0	0.2
2014	3	1	1	1965.09	0.166	0	1	1	0	0.2
2015	3	1	1	2205.79	0.142	0	1	1	0	0.2
2016	3	1	1	2214.23	0.124	0	1	1	0	0.2
2017	3	1	1	2334.36	0.127	0	1	1	0	0.2
2018	3	1	1	2778.05	0.141	0	1	1	0	0.2
2019	3	1	1	3039.16	0.132	0	1	1	0	0.2
2020	3	1	1	2604.57	0.134	0	1	1	0	0.2
2021	3	1	1	2387.97	0.146	0	1	1	0	0.2
