"Crab.Year","HAL","NPT","POT","PTR","trawl","fixed","trawl_thou","fixed_thou","trawl_1000t","fixed_1000t","status","total_1000t","total_lbs"
2009,13913.2727897081,1275.4275474625,1129.76223978538,0.051603394350377,637.739575428426,7521.51751474672,0.637739575428426,7.52151751474672,0.001,0.008,"complete",0.009,0.02
2010,522.982349577008,688.410809921692,18605.878686912,31.2831774690744,359.846993695383,9564.43051824449,0.359846993695383,9.56443051824449,0,0.01,"complete",0.01,0.022
2011,1592.63906513167,308.878761234697,0,30.8103412615852,169.844551248141,796.319532565837,0.169844551248141,0.796319532565837,0,0.001,"complete",0.001,0.002
2012,1478.15616909865,21.2397253062731,0,0,10.6198626531366,739.078084549323,0.0106198626531366,0.739078084549323,0,0.001,"complete",0.001,0.002
2013,681.719563042093,322.236872556936,0,4.34997641904882,163.293424487992,340.859781521046,0.163293424487993,0.340859781521046,0,0,"complete",0,0
2014,979.22812894095,0,0,0,0,489.614064470475,0,0.489614064470475,0,0,"complete",0,0
2015,442.478911752679,0,979.091206280561,0,0,710.78505901662,0,0.71078505901662,0,0.001,"complete",0.001,0.002
2016,1004.84577422769,457.814351241115,2254.65837554123,0,228.907175620557,1629.75207488446,0.228907175620557,1.62975207488446,0,0.002,"complete",0.002,0.004
2017,737.4135476,95.4180589,10945.9471723,0,47.70902945,5841.68035995,0.04770902945,5.84168035995,0,0.006,"complete",0.006,0.013
2018,408.0186858,0,1872.6336616,0,0,1140.3261737,0,1.1403261737,0,0.001,"complete",0.001,0.002
2019,494.3159234,59.5598679,1581.5512801,0,29.77993395,1037.93360175,0.02977993395,1.03793360175,0,0.001,"complete",0.001,0.002
2020,1021.7946608,72.6551778,0,0,36.3275889,510.8973304,0.0363275889,0.5108973304,0,0.001,"complete",0.001,0.002
2021,186.7020228,0,0,0,0,93.3510114,0,0.0933510114,0,0,"not completed",0,0
