"Crab.Year","HAL","NPT","POT","PTR","trawl","fixed"
2009,11726.0290721012,1264.84858685395,1325.84182221831,0.046943788661058,632.447765321308,6525.93544715977
2010,393.273276162709,349.007986250935,28131.7426615905,28.3188275006582,188.663406875796,14262.5079688766
2011,1100.12379617831,205.992504821612,0,26.0002879844601,115.996396403036,550.061898089155
2012,959.27437301293,18.0252265682656,0,0,9.01261328413282,479.637186506465
2013,422.898867790474,239.912507225727,0,5.9999674745501,122.956237350139,211.449433895237
2014,599.930413754548,0,0,0,0,299.965206877274
2015,272.859084369627,0,941.387839454793,0,0,607.12346191221
2016,667.069041175536,141.004420107027,2632.07170293231,0,70.5022100535137,1649.57037205392
2017,524.9513512299,85.1616442143,15800.7654331303,0,42.58082210715,8162.8583921801
2018,238.2343727198,0,3452.5064607675,0,0,1845.37041674365
2019,335.8261741083,25.5621789581,2630.0999865799,0,12.78108947905,1482.9630803441
2020,853.3369042223,79.3541313024,0,0,39.6770656512,426.66845211115
2021,157.2703576631,0,0,0,0,78.63517883155
