year,V3,recovery,FishMort
1,1,0,F = 0
1,2,0,F = 0.18
2,1,0,F = 0
2,2,0,F = 0.18
3,1,0.1,F = 0
3,2,0.05,F = 0.18
4,1,5.5,F = 0
4,2,5,F = 0.18
5,1,14.05,F = 0
5,2,13.350000000000001,F = 0.18
6,1,26.400000000000002,F = 0
6,2,26,F = 0.18
7,1,37.05,F = 0
7,2,36,F = 0.18
8,1,45.5,F = 0
8,2,43.95,F = 0.18
9,1,52.2,F = 0
9,2,50.05,F = 0.18
10,1,58.8,F = 0
10,2,56.65,F = 0.18
11,1,63.24999999999999,F = 0
11,2,60.099999999999994,F = 0.18
12,1,67.30000000000001,F = 0
12,2,63.55,F = 0.18
13,1,70.45,F = 0
13,2,65.8,F = 0.18
14,1,74,F = 0
14,2,68.7,F = 0.18
15,1,75.94999999999999,F = 0
15,2,69.19999999999999,F = 0.18
16,1,76.8,F = 0
16,2,70.55,F = 0.18
17,1,77.8,F = 0
17,2,71.3,F = 0.18
18,1,79.3,F = 0
18,2,72.2,F = 0.18
19,1,80.30000000000001,F = 0
19,2,72.55,F = 0.18
20,1,81,F = 0
20,2,73.65,F = 0.18
21,1,81.75,F = 0
21,2,72.75,F = 0.18
22,1,82.15,F = 0
22,2,73.3,F = 0.18
23,1,83,F = 0
23,2,73.9,F = 0.18
24,1,82.55,F = 0
24,2,73.35000000000001,F = 0.18
25,1,83.7,F = 0
25,2,72.85000000000001,F = 0.18
26,1,84.15,F = 0
26,2,73.35000000000001,F = 0.18
27,1,83.95,F = 0
27,2,73.1,F = 0.18
28,1,84.35000000000001,F = 0
28,2,73.25,F = 0.18
29,1,83.5,F = 0
29,2,71.85000000000001,F = 0.18
30,1,82.95,F = 0
30,2,72.39999999999999,F = 0.18
31,1,81.89999999999999,F = 0
31,2,71.39999999999999,F = 0.18
32,1,83.39999999999999,F = 0
32,2,72.05,F = 0.18
33,1,82.89999999999999,F = 0
33,2,73.3,F = 0.18
34,1,83.45,F = 0
34,2,72.39999999999999,F = 0.18
35,1,84.65,F = 0
35,2,72.85000000000001,F = 0.18
36,1,85.45,F = 0
36,2,74.05000000000001,F = 0.18
37,1,84.75,F = 0
37,2,74.55000000000001,F = 0.18
38,1,84.35000000000001,F = 0
38,2,73.8,F = 0.18
39,1,84.45,F = 0
39,2,73.3,F = 0.18
40,1,84.65,F = 0
40,2,74.45,F = 0.18
41,1,84.85000000000001,F = 0
41,2,74.45,F = 0.18
42,1,84.35000000000001,F = 0
42,2,74.65,F = 0.18
43,1,84.7,F = 0
43,2,74.35000000000001,F = 0.18
44,1,84.5,F = 0
44,2,74.05000000000001,F = 0.18
45,1,85.25,F = 0
45,2,74.75,F = 0.18
46,1,84.5,F = 0
46,2,75,F = 0.18
47,1,84.75,F = 0
47,2,74.4,F = 0.18
48,1,84.85000000000001,F = 0
48,2,73.8,F = 0.18
49,1,84.89999999999999,F = 0
49,2,72.85000000000001,F = 0.18
50,1,84.45,F = 0
50,2,72.75,F = 0.18
