SPECIES_CODE,SEX,LENGTH,WIDTH,SHELL_CONDITION,EGG_COLOR,EGG_CONDITION,CLUTCH_SIZE,MERUS_LENGTH,CHELA_HEIGHT,DISEASE_CODE,DISEASE_DORSAL,DISEASE_VENTRAL,DISEASE_LEGS,WEIGHT,SAMPLING_FACTOR,VESSEL,CRUISE,HAUL,STATION,ID,COMMENTS
69310,2,16.41408822,18.2,0,0,0,0,,,,,,,,1,178,201601,1,21-08,2472baa58a263f80_0000000006,
69310,2,149.7407294,176.3,2,0,0,1,,,,,,,,1,178,201601,1,21-08,2472baa58a263f80_0000000005,
69310,2,154.9478295,182.6,2,0,0,1,,,,,,,,1,178,201601,1,21-08,2472baa58a263f80_0000000004,
69310,2,113.1416476,132.2,2,0,0,1,,,,,,,,1,178,201601,1,21-08,2472baa58a263f80_0000000003,
69310,2,125.6219498,147.2,2,0,0,1,,,,,,,,1,178,201601,1,21-08,2472baa58a263f80_0000000002,
69310,2,121.9647052,142.8,2,0,0,1,,,,,,,,1,178,201601,1,21-08,2472baa58a263f80_0000000001,
69310,2,136.7424884,160.6,2,0,0,1,,,,,,,,1,178,201601,3,22-05,2472baa58a263f80_0000000011,
69310,2,44.07642032,50.2,2,0,0,0,,,,,,,,1,178,201601,4,22-99,2472baa58a263f80_0000000029,
69310,2,54.30419315,62.2,2,0,0,0,,,,,,,,1,178,201601,4,22-99,2472baa58a263f80_0000000028,
69310,2,12.97922684,14.3,2,0,0,0,,,,,,,,1,178,201601,4,22-99,2472baa58a263f80_0000000033,
69310,2,14.91951146,16.5,2,0,0,0,,,,,,,,1,178,201601,4,22-99,2472baa58a263f80_0000000032,
69310,2,19.21765975,21.4,2,0,0,0,,,,,,,,1,178,201601,4,22-99,2472baa58a263f80_0000000031,
69310,2,20.96415303,23.4,2,0,0,0,,,,,,,,1,178,201601,4,22-99,2472baa58a263f80_0000000030,
69310,2,166.8322118,197,2,0,0,1,,,,,,,,1,178,201601,5,21-99,2472baa58a263f80_0000000046,
69310,2,98.44986332,114.6,2,4,1,4,,,,,,,,1,178,201601,13,,2472baa58a263f80_0000000191,
69310,1,85.54569755,99.2,2,,,,,,,,,,,1,178,201601,13,,2472baa58a263f80_0000000190,
69310,2,100.6237906,117.2,2,4,1,4,,,,,,,,1,178,201601,14,,2472baa58a263f80_0000000209,
