stratum,prop_in_prib_dist,stratum_area_pi,record_count,load_date,survey,stratum_area,perimeter,startum_inpfc_area,min_depth,max_depth,description,area_code,depth_code,area_depth_code,regulatory_area_name,stratum_type
11,0.021820495,87.55277047,1,2016-10-03T14:02:42Z,EBS_SLOPE,4012.41,0,NA,0,0,EBS slope subarea 1 depth stratum 1 200-400 meters,0,0,0,NA,NA
12,0.02501566,101.6328741,1,2016-10-03T14:02:42Z,EBS_SLOPE,4062.77,0,NA,0,0,EBS slope subarea 1 depth stratum 2 400-600 meters,0,0,0,NA,NA
13,0.060026664,104.5460402,1,2016-10-03T14:02:42Z,EBS_SLOPE,1741.66,0,NA,0,0,EBS slope subarea 1 depth stratum 3 600-800 meters,0,0,0,NA,NA
14,0.088200893,119.4892773,1,2016-10-03T14:02:42Z,EBS_SLOPE,1354.74,0,NA,0,0,EBS slope subarea 1 depth stratum 4  800-1000 meters,0,0,0,NA,NA
15,0.115502147,127.8481711,1,2016-10-03T14:02:42Z,EBS_SLOPE,1106.89,0,NA,0,0,EBS slope subarea 1 depth stratum 5 1000-1200 meters,0,0,0,NA,NA
21,1,1157.635,1,2016-10-03T14:02:42Z,EBS_SLOPE,1157.635,0,NA,0,0,EBS slope subarea 2 depth stratum 1 200-400 meters,0,0,0,NA,NA
22,1,705.075,1,2016-10-03T14:02:42Z,EBS_SLOPE,705.075,0,NA,0,0,EBS slope subarea 2 depth stratum 2 400-600 meters,0,0,0,NA,NA
23,1,591.273,1,2016-10-03T14:02:42Z,EBS_SLOPE,591.273,0,NA,0,0,EBS slope subarea 2 depth stratum 3 600-800 meters,0,0,0,NA,NA
24,1,552.734,1,2016-10-03T14:02:42Z,EBS_SLOPE,552.734,0,NA,0,0,EBS slope subarea 2 depth stratum 4  800-1000 meters,0,0,0,NA,NA
25,1,535.671,1,2016-10-03T14:02:42Z,EBS_SLOPE,535.671,0,NA,0,0,EBS slope subarea 2 depth stratum 5 1000-1200 meters,0,0,0,NA,NA
31,1,903.783,1,2016-10-03T14:02:42Z,EBS_SLOPE,903.783,0,NA,0,0,EBS slope subarea 3 depth stratum 1 200-400 meters,0,0,0,NA,NA
32,1,886.107,1,2016-10-03T14:02:42Z,EBS_SLOPE,886.107,0,NA,0,0,EBS slope subarea 3 depth stratum 2 400-600 meters,0,0,0,NA,NA
33,1,910.262,1,2016-10-03T14:02:42Z,EBS_SLOPE,910.262,0,NA,0,0,EBS slope subarea 3 depth stratum 3 600-800 meters,0,0,0,NA,NA
34,1,732.352,1,2016-10-03T14:02:42Z,EBS_SLOPE,732.352,0,NA,0,0,EBS slope subarea 3 depth stratum 4  800-1000 meters,0,0,0,NA,NA
35,1,675.523,1,2016-10-03T14:02:42Z,EBS_SLOPE,675.523,0,NA,0,0,EBS slope subarea 3 depth stratum 5 1000-1200 meters,0,0,0,NA,NA
41,0.884572797,1093.57435,1,2016-10-03T14:02:42Z,EBS_SLOPE,1236.274,0,NA,0,0,EBS slope subarea 4 depth stratum 1 200-400 meters,0,0,0,NA,NA
42,1,730.35,1,2016-10-03T14:02:42Z,EBS_SLOPE,730.35,0,NA,0,0,EBS slope subarea 4 depth stratum 2 400-600 meters,0,0,0,NA,NA
43,1,693.954,1,2016-10-03T14:02:42Z,EBS_SLOPE,693.954,0,NA,0,0,EBS slope subarea 4 depth stratum 3 600-800 meters,0,0,0,NA,NA
44,1,707.59,1,2016-10-03T14:02:42Z,EBS_SLOPE,707.59,0,NA,0,0,EBS slope subarea 4 depth stratum 4  800-1000 meters,0,0,0,NA,NA
