HAULJOIN,VESSEL,CRUISE,HAUL,HAUL_TYPE,PERFORMANCE,START_DATE,START_HOUR,DURATION,DISTANCE_FISHED,NET_WIDTH,NET_MEASURED,NET_HEIGHT,START_LATITUDE,START_LONGITUDE,STATIONID,STRATUM,GEAR_DEPTH,BOTTOM_DEPTH,SURFACE_TEMPERATURE,GEAR_TEMPERATURE,WIRE_LENGTH,GEAR,ACCESSORIES,SUBSAMPLE,AREA_SWEPT_VARIABLE,SPECIES_CODE,SEX,LENGTH,SHELL_CONDITION,EGG_COLOR,EGG_CONDITION,CLUTCH_SIZE,MERUS_LENGTH,CHELA_HEIGHT,SPECIAL_SAMPLE,SPECIAL1,SPECIAL2,SPECIAL3,WEIGHT,SAMPLING_FACTOR, 
-8725,94,201201,1,3,0,06082012,0921,0.537,2.469,15.38,N,8.042,54.77494,-165.54919,11-43,11,198,206,4.3,3,594,172,115,1,0.01107122,69310,0,0,,,,,,,,,,,,0, 
-8726,94,201201,2,3,0,06082012,1231,0.503,2.406,15.047,Y,7.779,54.74907,-165.42688,11-03,11,200,208,4.2,3.3,640,172,115,1,0.01055513,69310,0,0,,,,,,,,,,,,0, 
-8727,94,201201,3,3,0,06082012,1500,0.522,2.433,14.961,Y,8.052,54.71713,-165.54935,11-02,11,0,8,0,0,686,172,115,1,0.010612575,69310,0,0,,,,,,,,,,,,0, 
-8728,94,201201,4,3,0,06082012,1722,0.511,2.362,14.661,Y,7.848,54.63245,-165.64072,11-15,11,322,330,5.5,3.1,777,172,115,1,0.010096283,69310,0,0,,,,,,,,,,,,0, 
-8729,94,201201,5,3,0,06092012,0735,0.526,2.338,17.29,Y,6.54,54.38038,-166.4769,13-02,13,606,613,5,3.4,1280,172,115,1,0.011785758,69310,0,0,,,,,,,,,,,,0, 
-8730,94,201201,6,3,0,06092012,1033,0.52,2.42,16.723,Y,6.593,54.42652,-166.42783,12-30,12,548,555,3.5,3.5,1189,172,115,1,0.011799065,69310,1,142,2,,,,,,,,,,,1, 
-8731,94,201201,7,3,0,06092012,1353,0.539,2.598,17.078,Y,6.779,54.33572,-166.36665,14-12,14,832,839,4.6,2.9,1692,172,115,1,0.012935827,69310,0,0,,,,,,,,,,,,0, 
-8732,94,201201,9,3,3.13,06102012,0727,0.512,2.202,16.524,N,6.645,54.62425,-167.31912,12-49,12,498,505,5.1,3.6,1097,172,115,1,0.010608416,69310,2,102,2,0,0,0,,,,,,,,1, 
-8733,94,201201,10,3,0,06102012,1017,0.517,2.483,16.57,N,6.589,54.69598,-167.4186,12-42,12,541,548,4.8,3.5,1189,172,115,1,0.01199547,69310,1,130,2,,,,,,,,,,,1, 
-8734,94,201201,11,3,0,06102012,1315,0.486,2.126,16.607,Y,6.728,54.71618,-167.26978,12-01,12,457,464,4.8,3.6,1052,172,115,1,0.010293723,69310,1,120,2,,,,,,,,,,,1, 
-8734,94,201201,11,3,0,06102012,1315,0.486,2.126,16.607,Y,6.728,54.71618,-167.26978,12-01,12,457,464,4.8,3.6,1052,172,115,1,0.010293723,69310,1,130,2,,,,,,,,,,,1, 
-8735,94,201201,12,3,0,06102012,1548,0.501,2.337,16.815,Y,6.737,54.80162,-167.23277,12-32,12,406,413,4.2,3.5,960,172,115,1,0.011457071,69310,0,0,,,,,,,,,,,,0, 
-8736,94,201201,13,3,0,06102012,1755,0.496,2.318,16.443,Y,6.988,54.9253,-167.34335,11-41,11,318,325,4.6,3.3,777,172,115,1,0.011112519,69310,1,100,2,,,,,,,,,,,1, 
-8737,94,201201,14,3,5.1,06112012,0746,0.502,1.935,15.194,Y,7.889,56.01878,-168.91642,25-02,25,1162,1170,4.2,2.7,1920,172,115,1,0.008571782,69310,0,0,,,,,,,,,,,,0, 
-8738,94,201201,15,3,2.4,06112012,1055,0.288,1.264,15.059,Y,7.604,56.08485,-168.65262,23-08,23,624,632,4.3,3.5,1326,172,115,1,0.005549594,69310,1,104,2,,,,,,,,,,,1, 
-8738,94,201201,15,3,2.4,06112012,1055,0.288,1.264,15.059,Y,7.604,56.08485,-168.65262,23-08,23,624,632,4.3,3.5,1326,172,115,1,0.005549594,69310,1,116,2,,,,,,,,,,,1, 
-8738,94,201201,15,3,2.4,06112012,1055,0.288,1.264,15.059,Y,7.604,56.08485,-168.65262,23-08,23,624,632,4.3,3.5,1326,172,115,1,0.005549594,69310,2,115,3,0,0,1,,,,,,,,1, 
-8738,94,201201,15,3,2.4,06112012,1055,0.288,1.264,15.059,Y,7.604,56.08485,-168.65262,23-08,23,624,632,4.3,3.5,1326,172,115,1,0.005549594,69310,2,84,2,0,0,0,,,,,,,,1, 
-8738,94,201201,15,3,2.4,06112012,1055,0.288,1.264,15.059,Y,7.604,56.08485,-168.65262,23-08,23,624,632,4.3,3.5,1326,172,115,1,0.005549594,69310,1,168,3,,,,,,,,,,,1, 
-8739,94,201201,16,3,0,06112012,1339,0.528,2.505,15.185,Y,7.124,56.04325,-168.3836,21-03,21,220,227,4.3,3.2,640,172,115,2,0.01109023,69310,1,127,3,,,,,,,,,,,1, 
-8739,94,201201,16,3,0,06112012,1339,0.528,2.505,15.185,Y,7.124,56.04325,-168.3836,21-03,21,220,227,4.3,3.2,640,172,115,2,0.01109023,69310,1,145,3,,,,,,,,,,,1, 
-8739,94,201201,16,3,0,06112012,1339,0.528,2.505,15.185,Y,7.124,56.04325,-168.3836,21-03,21,220,227,4.3,3.2,640,172,115,2,0.01109023,69310,1,153,2,,,,,,,,,,,1, 
-8739,94,201201,16,3,0,06112012,1339,0.528,2.505,15.185,Y,7.124,56.04325,-168.3836,21-03,21,220,227,4.3,3.2,640,172,115,2,0.01109023,69310,1,134,3,,,,,,,,,,,1, 
-8740,94,201201,17,3,0,06112012,1707,0.576,2.51,15.169,Y,7.709,56.15493,-168.53442,21-04,21,280,288,4.2,3.2,732,172,115,1,0.011100658,69310,2,122,4,7,2,2,,,,,,,,1, 
-8740,94,201201,17,3,0,06112012,1707,0.576,2.51,15.169,Y,7.709,56.15493,-168.53442,21-04,21,280,288,4.2,3.2,732,172,115,1,0.011100658,69310,2,92,2,0,0,0,,,,,,,,1, 
-8740,94,201201,17,3,0,06112012,1707,0.576,2.51,15.169,Y,7.709,56.15493,-168.53442,21-04,21,280,288,4.2,3.2,732,172,115,1,0.011100658,69310,2,127,2,4,1,6,,,,,,,,1, 
-8740,94,201201,17,3,0,06112012,1707,0.576,2.51,15.169,Y,7.709,56.15493,-168.53442,21-04,21,280,288,4.2,3.2,732,172,115,1,0.011100658,69310,1,135,2,,,,,,,,,,,1, 
-8740,94,201201,17,3,0,06112012,1707,0.576,2.51,15.169,Y,7.709,56.15493,-168.53442,21-04,21,280,288,4.2,3.2,732,172,115,1,0.011100658,69310,1,84,2,,,,,,,,,,,1, 
-8740,94,201201,17,3,0,06112012,1707,0.576,2.51,15.169,Y,7.709,56.15493,-168.53442,21-04,21,280,288,4.2,3.2,732,172,115,1,0.011100658,69310,1,136,2,,,,,,,,,,,1, 
-8740,94,201201,17,3,0,06112012,1707,0.576,2.51,15.169,Y,7.709,56.15493,-168.53442,21-04,21,280,288,4.2,3.2,732,172,115,1,0.011100658,69310,1,87,2,,,,,,,,,,,1, 
-8740,94,201201,17,3,0,06112012,1707,0.576,2.51,15.169,Y,7.709,56.15493,-168.53442,21-04,21,280,288,4.2,3.2,732,172,115,1,0.011100658,69310,1,127,2,,,,,,,,,,,1, 
-8740,94,201201,17,3,0,06112012,1707,0.576,2.51,15.169,Y,7.709,56.15493,-168.53442,21-04,21,280,288,4.2,3.2,732,172,115,1,0.011100658,69310,1,168,3,,,,,,,,,,,1, 
-8740,94,201201,17,3,0,06112012,1707,0.576,2.51,15.169,Y,7.709,56.15493,-168.53442,21-04,21,280,288,4.2,3.2,732,172,115,1,0.011100658,69310,2,120,2,4,1,5,,,,,,,,1, 
-8740,94,201201,17,3,0,06112012,1707,0.576,2.51,15.169,Y,7.709,56.15493,-168.53442,21-04,21,280,288,4.2,3.2,732,172,115,1,0.011100658,69310,2,119,3,4,2,6,,,,,,,,1, 
-8740,94,201201,17,3,0,06112012,1707,0.576,2.51,15.169,Y,7.709,56.15493,-168.53442,21-04,21,280,288,4.2,3.2,732,172,115,1,0.011100658,69310,2,100,2,0,0,1,,,,,,,,1, 
-8740,94,201201,17,3,0,06112012,1707,0.576,2.51,15.169,Y,7.709,56.15493,-168.53442,21-04,21,280,288,4.2,3.2,732,172,115,1,0.011100658,69310,2,94,3,0,0,1,,,,,,,,1, 
