Record Count,Loaded to Repository,Survey,Stratum,Area (km2),Perimeter (km),Stratum INPFC Area,Stratum Min Depth (m),Stratum Max Depth (m),Stratum Description,Summary Area Code,Summary Depth Code,Summary Area Depth Code,Stratum Regulatory Area Name,Stratum Type
1,2016-10-03 14:02:42,EBS_SLOPE,44,707.59,0,,0,0,EBS slope subarea 4 depth stratum 4  800-1000 meters,0,0,0,,
1,2016-10-03 14:02:42,EBS_SLOPE,45,662.419,0,,0,0,EBS slope subarea 4 depth stratum 5 1000-1200 meters,0,0,0,,
1,2016-10-03 14:02:42,EBS_SLOPE,51,423.712,0,,0,0,EBS slope subarea 5 depth stratum 1 200-400 meters,0,0,0,,
1,2016-10-03 14:02:42,EBS_SLOPE,52,425.725,0,,0,0,EBS slope subarea 5 depth stratum 2 400-600 meters,0,0,0,,
1,2016-10-03 14:02:42,EBS_SLOPE,53,431.829,0,,0,0,EBS slope subarea 5 depth stratum 3 600-800 meters,0,0,0,,
1,2016-10-03 14:02:42,EBS_SLOPE,54,551.99,0,,0,0,EBS slope subarea 5 depth stratum 4  800-1000 meters,0,0,0,,
1,2016-10-03 14:02:42,EBS_SLOPE,55,570.139,0,,0,0,EBS slope subarea 5 depth stratum 5 1000-1200 meters,0,0,0,,
1,2016-10-03 14:02:42,EBS_SLOPE,61,2595.79,0,,0,0,EBS slope subarea 6 depth stratum 1 200-400 meters,0,0,0,,
1,2016-10-03 14:02:42,EBS_SLOPE,62,1705.756,0,,0,0,EBS slope subarea 6 depth stratum 2 400-600 meters,0,0,0,,
1,2016-10-03 14:02:42,EBS_SLOPE,63,917.491,0,,0,0,EBS slope subarea 6 depth stratum 3 600-800 meters,0,0,0,,
1,2016-10-03 14:02:42,EBS_SLOPE,64,645.173,0,,0,0,EBS slope subarea 6 depth stratum 4  800-1000 meters,0,0,0,,
1,2016-10-03 14:02:42,EBS_SLOPE,65,496.416,0,,0,0,EBS slope subarea 6 depth stratum 5 1000-1200 meters,0,0,0,,
1,2016-10-03 14:02:42,EBS_SLOPE,999999,32723.493,0,,0,0,EBS slope all subareas all depths 200-1200 meters,0,0,0,,
