index,name,value,std.dev,index,name,value,std.dev
102,$log-fdev[1]$,0.29435,0.038349,152,$log-fdev[2]$,-0.42645,0.10223
103,$log-fdev[1]$,0.58496,0.038821,153,$log-fdev[2]$,-0.78367,0.10229
104,$log-fdev[1]$,0.33857,0.038243,154,$log-fdev[2]$,-0.93156,0.10226
105,$log-fdev[1]$,0.70395,0.038171,155,$log-fdev[2]$,-1.3938,0.10203
106,$log-fdev[1]$,0.87445,0.039816,156,$log-fdev[2]$,-1.9139,0.10219
107,$log-fdev[1]$,0.69035,0.040514,157,$log-fdev[2]$,-1.1986,0.10242
108,$log-fdev[1]$,0.56032,0.039924,158,$log-fdev[2]$,-1.7623,0.10267
109,$log-fdev[1]$,-0.075269,0.038808,159,$log-fdev[2]$,-1.3781,0.10345
110,$log-fdev[1]$,-0.15103,0.037956,160,$log-fdev[2]$,-0.85203,0.10496
111,$log-fdev[1]$,0.036089,0.037874,161,$log-fdev[2]$,-0.4181,0.10721
112,$log-fdev[1]$,0.36556,0.038384,162,$log-fdev[2]$,-0.48274,0.10969
113,$log-fdev[1]$,0.43815,0.040736,163,$log-fdev[2]$,-0.389,0.11257
114,$log-fdev[1]$,0.43719,0.045995,164,$log-fdev[2]$,-0.42058,0.11481
115,$log-fdev[1]$,0.347,0.054412,165,$log-fdev[2]$,-1.4143,0.11538
116,$log-fdev[1]$,0.15582,0.064121,166,$log-fdev[3]$,-0.11637,0.068237
117,$log-fdev[1]$,0.095235,0.072363,167,$log-fdev[3]$,0.66986,0.068235
118,$log-fdev[1]$,-0.34161,0.076151,168,$log-fdev[3]$,1.2283,0.068236
119,$log-fdev[1]$,-4.7973,0.07544,169,$log-fdev[3]$,1.0927,0.068241
120,$log-fdev[2]$,0.19547,0.1246,170,$log-fdev[3]$,1.3825,0.068243
121,$log-fdev[2]$,0.63437,0.11639,171,$log-fdev[3]$,1.4243,0.068243
122,$log-fdev[2]$,0.61355,0.11056,172,$log-fdev[3]$,0.99272,0.068243
123,$log-fdev[2]$,0.68979,0.10905,173,$log-fdev[3]$,0.47645,0.068242
124,$log-fdev[2]$,1.4063,0.11167,174,$log-fdev[3]$,-0.98741,0.068239
125,$log-fdev[2]$,1.1759,0.13079,175,$log-fdev[3]$,-0.57875,0.068237
126,$log-fdev[2]$,2.4577,0.1315,176,$log-fdev[3]$,-1.0994,0.068237
127,$log-fdev[2]$,2.178,0.11895,177,$log-fdev[3]$,-0.25631,0.068234
128,$log-fdev[2]$,3.3979,0.11617,178,$log-fdev[3]$,0.94006,0.068233
129,$log-fdev[2]$,2.192,0.11129,179,$log-fdev[3]$,1.4182,0.068236
130,$log-fdev[2]$,1.1294,0.11111,180,$log-fdev[3]$,3.2392,0.075313
131,$log-fdev[2]$,0.67591,0.10872,181,$log-fdev[3]$,1.2842,0.09523
132,$log-fdev[2]$,1.4523,0.1044,182,$log-fdev[3]$,0.581,0.11949
133,$log-fdev[2]$,0.021721,0.1035,183,$log-fdev[3]$,-0.75687,0.081711
134,$log-fdev[2]$,0.47517,0.10353,184,$log-fdev[3]$,-2.137,0.073311
135,$log-fdev[2]$,0.89873,0.10471,185,$log-fdev[3]$,-2.9906,0.093065
136,$log-fdev[2]$,0.7353,0.10496,186,$log-fdev[3]$,-2.4124,0.11157
137,$log-fdev[2]$,1.2117,0.10771,187,$log-fdev[3]$,-3.4942,0.075319
138,$log-fdev[2]$,-0.55563,0.10477,188,$log-fdev[3]$,-0.84462,0.093515
139,$log-fdev[2]$,-0.84232,0.10335,189,$log-fdev[3]$,-0.11923,0.11114
