index,name,value,std.dev,index,name,value,std.dev
1,theta[1],0.21579,0.0051832,47,Grwth[88],0.068311,0.0034891
2,theta[2],0.19783,0.017909,48,log-slx-pars[1],4.7777,0.0084494
3,theta[4],19.935,0.056724,49,log-slx-pars[2],2.2784,0.042974
4,theta[5],16.416,0.14365,50,log-slx-pars[3],4.5459,0.018488
5,theta[7],0.7281,0.12329,51,log-slx-pars[4],2.1714,0.098789
6,theta[9],-0.50931,0.21728,52,log-slx-pars[5],5.1384,0.047745
7,theta[13],1.0895,0.4146,53,log-slx-pars[6],2.7955,0.041114
8,theta[14],0.72847,0.4794,54,log-slx-pars[7],4.7175,0.23292
9,theta[15],0.94362,0.33109,55,log-slx-pars[8],2.167,0.30481
10,theta[16],0.7852,0.30155,56,log-slx-pars[9],4.7389,0.084204
11,theta[17],0.6064,0.29111,57,log-slx-pars[10],0.90173,0.30308
12,theta[18],0.55134,0.27279,58,log-slx-pars[11],4.8108,0.023117
13,theta[19],0.37279,0.27439,59,log-slx-pars[12],2.3508,0.079255
14,theta[20],0.38955,0.26187,60,log-slx-pars[13],4.1588,0.11997
15,theta[21],0.40868,0.25565,61,log-slx-pars[14],2.2521,0.33531
16,theta[22],0.16665,0.27818,62,log-slx-pars[15],4.0531,0.27972
17,theta[23],0.1303,0.27432,63,log-slx-pars[16],3.5758,0.41567
18,theta[24],0.0085672,0.28523,64,log-slx-pars[17],4.4543,0.028002
19,theta[25],0.10564,0.26429,65,log-slx-pars[18],2.5437,0.078099
20,theta[26],-0.0667,0.20375,66,log-slx-pars[19],4.9233,0.0014996
21,theta[27],-0.30544,0.19607,67,log-slx-pars[20],0.67433,0.052619
22,theta[28],-0.46039,0.19819,68,log-slx-pars[21],4.9325,0.0020284
23,theta[29],-0.8121,0.21203,69,log-slx-pars[22],0.72855,0.097547
24,theta[30],-1.2741,0.23315,70,log-fbar[1],-1.5448,0.051441
25,theta[31],-1.3177,0.23527,71,log-fbar[2],-4.2568,0.083237
26,theta[52],1.3359,0.74474,72,log-fbar[3],-5.6214,0.32504
27,theta[53],1.51,0.48617,73,log-fbar[4],-6.4608,0.084642
28,theta[54],1.4162,0.37988,74,log-fdev[1],0.79183,0.1197
