index,name,value,std.dev,index,name,value,std.dev
1,theta[2],0.25327,0.015714,47,log-slx-pars[3],4.5009,0.01631
2,theta[4],17.851,0.0407,48,log-slx-pars[4],1.9927,0.11581
3,theta[5],15.817,0.15623,49,log-slx-pars[5],5.2082,0.092692
4,theta[7],0.64839,0.1226,50,log-slx-pars[6],2.9321,0.053858
5,theta[9],-0.45595,0.25045,51,log-slx-pars[7],4.7312,0.22295
6,theta[13],0.75865,0.49651,52,log-slx-pars[8],2.1651,0.30576
7,theta[14],0.77771,0.4753,53,log-slx-pars[9],4.7178,0.090709
8,theta[15],1.1311,0.3504,54,log-slx-pars[10],0.90332,0.30229
9,theta[16],1.32,0.28479,55,log-slx-pars[11],4.787,0.022586
10,theta[17],1.2547,0.26501,56,log-slx-pars[12],2.3391,0.087552
11,theta[18],0.98857,0.27222,57,log-slx-pars[13],3.946,0.37954
12,theta[19],0.94543,0.25932,58,log-slx-pars[14],2.9559,0.38416
13,theta[20],1.2024,0.22173,59,log-slx-pars[15],4.4345,0.033019
14,theta[21],1.1938,0.2159,60,log-slx-pars[16],2.4245,0.090365
15,theta[22],1.0114,0.22264,61,log-slx-pars[17],4.9239,0.0017052
16,theta[23],0.95766,0.21499,62,log-slx-pars[18],0.67186,0.070499
17,theta[24],0.81549,0.21825,63,log-slx-pars[19],4.9324,0.002056
18,theta[25],0.4861,0.22329,64,log-slx-pars[20],0.73415,0.098678
19,theta[26],0.043878,0.19446,65,log-fbar[1],-1.6448,0.047557
20,theta[27],-0.42703,0.19674,66,log-fbar[2],-4.6935,0.081791
21,theta[28],-1.0824,0.22007,67,log-fbar[3],-5.9731,0.30701
22,theta[29],-1.6618,0.25257,68,log-fbar[4],-6.5478,0.072822
23,theta[30],-2.3396,0.27636,69,log-fdev[1],1.0302,0.11907
24,theta[31],-2.0036,0.36131,70,log-fdev[1],1.2495,0.0789
25,theta[52],-0.099066,0.59899,71,log-fdev[1],0.85685,0.062793
26,theta[53],0.39551,0.65556,72,log-fdev[1],0.0050755,0.05215
27,theta[54],0.8694,0.54568,73,log-fdev[1],0.15316,0.046476
28,theta[55],1.0765,0.42803,74,log-fdev[1],0.80936,0.037135
29,theta[56],1.2241,0.33605,75,log-fdev[1],0.82055,0.038782
30,theta[57],1.0492,0.31362,76,log-fdev[1],0.3046,0.042724
31,theta[58],0.83049,0.31067,77,log-fdev[1],0.96917,0.046738
32,theta[59],0.36814,0.34753,78,log-fdev[1],-4.1815,0.044758
33,theta[60],-0.37151,0.39286,79,log-fdev[1],-4.5906,0.03917
34,theta[61],-0.82205,0.38606,80,log-fdev[1],-0.12049,0.038139
35,theta[62],-1.5225,0.37591,81,log-fdev[1],-0.073929,0.038246
36,theta[63],-1.6162,0.373,82,log-fdev[1],0.84178,0.040197
37,theta[64],-1.5463,0.37279,83,log-fdev[1],0.48181,0.039478
38,theta[65],-1.7687,0.36348,84,log-fdev[1],-0.10641,0.03823
39,theta[66],-1.9073,0.35302,85,log-fdev[1],-0.18452,0.037948
40,theta[67],-1.8742,0.34362,86,log-fdev[1],-0.070602,0.037178
41,Grwth[21],0.89662,0.19237,87,log-fdev[1],0.39378,0.03644
42,Grwth[42],1.4881,0.13419,88,log-fdev[1],0.35078,0.036633
43,Grwth[64],139.7,0.61206,89,log-fdev[1],0.64053,0.03671
44,Grwth[65],0.070692,0.0032915,90,log-fdev[1],0.39488,0.036385
45,log-slx-pars[1],4.7588,0.0082901,91,log-fdev[1],0.75914,0.036187
46,log-slx-pars[2],2.2663,0.046131,92,log-fdev[1],0.92844,0.036897
93,log-fdev[1],0.74286,0.037185,143,log-fdev[3],-0.72713,0.066129
94,log-fdev[1],0.61182,0.036538,144,log-fdev[3],0.11597,0.066125
95,log-fdev[1],-0.024232,0.035653,145,log-fdev[3],1.3122,0.066121
96,log-fdev[1],-0.099962,0.035062,146,log-fdev[3],1.7903,0.066122
97,log-fdev[1],0.087512,0.034963,147,log-fdev[3],3.6163,0.076385
98,log-fdev[1],0.41565,0.03548,148,log-fdev[3],1.6652,0.09478
99,log-fdev[1],0.48566,0.037864,149,log-fdev[3],0.96011,0.12677
100,log-fdev[1],0.48161,0.043071,150,log-fdev[3],-0.38306,0.080489
101,log-fdev[1],0.3872,0.051388,151,log-fdev[3],-1.7635,0.074007
102,log-fdev[1],0.19186,0.060964,152,log-fdev[3],-2.6141,0.09146
103,log-fdev[1],0.12898,0.069161,153,log-fdev[3],-2.0363,0.11621
104,log-fdev[1],-0.30883,0.073178,154,log-fdev[3],-3.1225,0.07712
105,log-fdev[1],-4.7616,0.07318,155,log-fdev[3],-0.47894,0.095954
106,log-fdev[2],2.3657,0.11403,156,log-fdev[3],0.24328,0.11379
107,log-fdev[2],1.3385,0.11225,157,log-fdev[3],1.4222,0.13716
108,log-fdev[2],0.94352,0.10877,158,log-fdev[4],0.57833,0.10287
109,log-fdev[2],1.7781,0.10415,159,log-fdev[4],-0.085526,0.10199
110,log-fdev[2],0.38074,0.10311,160,log-fdev[4],-0.30539,0.10252
111,log-fdev[2],0.84679,0.10282,161,log-fdev[4],0.6135,0.10172
112,log-fdev[2],1.2712,0.10364,162,log-fdev[4],-1.8136,0.10121
113,log-fdev[2],1.1077,0.10376,163,log-fdev[4],0.14219,0.10086
114,log-fdev[2],1.5786,0.10629,164,log-fdev[4],-0.11489,0.10049
115,log-fdev[2],-0.18278,0.10356,165,log-fdev[4],-0.94881,0.10041
