index,name,value,std.dev,index,name,value,std.dev
1,theta[1],0.23315,0.0065228,47,Grwth[88],0.069109,0.0034725
2,theta[2],0.1544,0.018543,48,log-slx-pars[1],4.7802,0.0083117
3,theta[4],20.028,0.059647,49,log-slx-pars[2],2.2732,0.042269
4,theta[5],16.563,0.14512,50,log-slx-pars[3],4.5591,0.019117
5,theta[7],0.74789,0.12401,51,log-slx-pars[4],2.2112,0.094558
6,theta[9],-0.53311,0.21459,52,log-slx-pars[5],5.1257,0.043367
7,theta[13],1.0859,0.42881,53,log-slx-pars[6],2.7762,0.040471
8,theta[14],0.73915,0.48979,54,log-slx-pars[7],4.7167,0.23566
9,theta[15],0.95771,0.33473,55,log-slx-pars[8],2.1674,0.30453
10,theta[16],0.79552,0.30382,56,log-slx-pars[9],4.7354,0.091343
11,theta[17],0.61091,0.29273,57,log-slx-pars[10],0.90317,0.30271
12,theta[18],0.55048,0.27369,58,log-slx-pars[11],4.8117,0.021979
13,theta[19],0.37091,0.27442,59,log-slx-pars[12],2.3382,0.076459
14,theta[20],0.38224,0.26185,60,log-slx-pars[13],4.1733,0.1085
15,theta[21],0.39641,0.25562,61,log-slx-pars[14],2.2435,0.31682
16,theta[22],0.15387,0.27748,62,log-slx-pars[15],4.1083,0.2409
17,theta[23],0.11631,0.27335,63,log-slx-pars[16],3.6372,0.41396
18,theta[24],-0.0082542,0.2842,64,log-slx-pars[17],4.4685,0.027669
19,theta[25],0.084436,0.26415,65,log-slx-pars[18],2.5731,0.07687
20,theta[26],-0.084506,0.20384,66,log-slx-pars[19],4.9234,0.0014898
21,theta[27],-0.32902,0.19666,67,log-slx-pars[20],0.67521,0.052357
22,theta[28],-0.48611,0.19883,68,log-slx-pars[21],4.9326,0.002033
23,theta[29],-0.83822,0.21239,69,log-slx-pars[22],0.73241,0.09715
24,theta[30],-1.3001,0.23312,70,log-fbar[1],-1.6187,0.044111
25,theta[31],-1.3442,0.23541,71,log-fbar[2],-4.3429,0.07573
26,theta[52],1.3448,0.80007,72,log-fbar[3],-5.7198,0.329
27,theta[53],1.554,0.49647,73,log-fbar[4],-6.5428,0.07679
28,theta[54],1.4512,0.38245,74,log-fdev[1],0.8007,0.12062
29,theta[55],1.2009,0.35046,75,log-fdev[1],0.76655,0.091162
30,theta[56],1.1192,0.3025,76,log-fdev[1],0.68844,0.075273
31,theta[57],0.64241,0.3224,77,log-fdev[1],0.78131,0.06162
32,theta[58],0.2368,0.35618,78,log-fdev[1],0.9948,0.0559
33,theta[59],-0.0024735,0.35952,79,log-fdev[1],1.8659,0.058935
34,theta[60],-0.20187,0.35007,80,log-fdev[1],2.4172,0.11362
35,theta[61],-0.54391,0.36864,81,log-fdev[1],0.86469,0.15341
36,theta[62],-0.93953,0.38001,82,log-fdev[1],-8.8006,0.10298
37,theta[63],-1.199,0.38475,83,log-fdev[1],1.3204,0.1
38,theta[64],-1.4322,0.38344,84,log-fdev[1],1.3569,0.091821
39,theta[65],-1.82,0.37249,85,log-fdev[1],1.4454,0.077586
40,theta[66],-1.9288,0.36889,86,log-fdev[1],0.93613,0.066881
41,theta[67],-1.8713,0.3489,87,log-fdev[1],-0.03024,0.054539
42,Grwth[21],0.97674,0.18858,88,log-fdev[1],0.079174,0.048574
43,Grwth[42],1.4075,0.1236,89,log-fdev[1],0.7237,0.039803
44,Grwth[85],143.03,1.7313,90,log-fdev[1],0.72669,0.04295
45,Grwth[86],0.055599,0.0096343,91,log-fdev[1],0.20855,0.047518
46,Grwth[87],141.1,0.61999,92,log-fdev[1],0.86494,0.051716
