year,V3,recovery,FishMort
1,1,0,F = 0
1,2,0,F = 0.18
2,1,0,F = 0
2,2,0,F = 0.18
3,1,0.05,F = 0
3,2,0.05,F = 0.18
4,1,3.5000000000000004,F = 0
4,2,3.05,F = 0.18
5,1,9.45,F = 0
5,2,9,F = 0.18
6,1,18.7,F = 0
6,2,17.549999999999997,F = 0.18
7,1,27.3,F = 0
7,2,25.85,F = 0.18
8,1,33.85,F = 0
8,2,31.45,F = 0.18
9,1,39.550000000000004,F = 0
9,2,37,F = 0.18
10,1,44.65,F = 0
10,2,41.199999999999996,F = 0.18
11,1,48.449999999999996,F = 0
11,2,44.45,F = 0.18
12,1,52.6,F = 0
12,2,48.1,F = 0.18
13,1,55.800000000000004,F = 0
13,2,50.14999999999999,F = 0.18
14,1,57.99999999999999,F = 0
14,2,50.5,F = 0.18
15,1,60.75000000000001,F = 0
15,2,53.349999999999994,F = 0.18
16,1,62.45,F = 0
16,2,54.55,F = 0.18
17,1,62.55,F = 0
17,2,55.35,F = 0.18
18,1,65.64999999999999,F = 0
18,2,56.2,F = 0.18
19,1,66.2,F = 0
19,2,56.65,F = 0.18
20,1,67.25,F = 0
20,2,57.05,F = 0.18
21,1,67.5,F = 0
21,2,57.45,F = 0.18
22,1,67.9,F = 0
22,2,57.65,F = 0.18
23,1,67.9,F = 0
23,2,57.85,F = 0.18
24,1,68.95,F = 0
24,2,56.89999999999999,F = 0.18
25,1,69.1,F = 0
25,2,56.55,F = 0.18
26,1,68.30000000000001,F = 0
26,2,57.15,F = 0.18
27,1,67.5,F = 0
27,2,55.75,F = 0.18
28,1,67.85,F = 0
28,2,55.85,F = 0.18
29,1,66.8,F = 0
29,2,54.25,F = 0.18
30,1,66.8,F = 0
30,2,54.1,F = 0.18
31,1,67.45,F = 0
31,2,54.55,F = 0.18
32,1,67.55,F = 0
32,2,55.45,F = 0.18
33,1,67.75,F = 0
33,2,55.25,F = 0.18
34,1,67.60000000000001,F = 0
34,2,55.60000000000001,F = 0.18
35,1,67.60000000000001,F = 0
35,2,55.95,F = 0.18
36,1,69.1,F = 0
36,2,57.8,F = 0.18
37,1,68.55,F = 0
37,2,56.699999999999996,F = 0.18
38,1,68.5,F = 0
38,2,56.599999999999994,F = 0.18
39,1,67.80000000000001,F = 0
39,2,57.199999999999996,F = 0.18
40,1,69,F = 0
40,2,57.35,F = 0.18
41,1,69.25,F = 0
41,2,57.199999999999996,F = 0.18
42,1,69.39999999999999,F = 0
42,2,57.49999999999999,F = 0.18
43,1,69.6,F = 0
43,2,57.4,F = 0.18
44,1,69.05,F = 0
44,2,56.89999999999999,F = 0.18
45,1,70.6,F = 0
45,2,57.85,F = 0.18
46,1,68.89999999999999,F = 0
46,2,57.550000000000004,F = 0.18
47,1,68.75,F = 0
47,2,56.95,F = 0.18
48,1,69.3,F = 0
48,2,57.199999999999996,F = 0.18
49,1,68.95,F = 0
49,2,55.800000000000004,F = 0.18
50,1,69.1,F = 0
50,2,56.8,F = 0.18
