"Crab.Year","HAL","NPT","POT","PTR","trawl","fixed"
2009,11726.029072131,1264.848586822,1325.841822259,0.046943789,632.4477653055,6525.935447195
2010,393.27327616,349.007986254,28131.742661968,28.318827502,188.663406878,14262.507969064
2011,1100.12379618588,205.99250478,0,26.000287984,115.996396382,550.06189809294
2012,959.274372998,18.025226564,0,0,9.012613282,479.637186499
2013,422.898867801,239.912507222,0,5.999967477,122.9562373495,211.4494339005
2014,599.930413762,0,0,0,0,299.965206881
2015,272.859084372,0,941.387839451,0,0,607.1234619115
2016,667.0690411759,141.004420102,2632.071702906,0,70.502210051,1649.57037204095
2017,524.9513512534,85.161644215,15800.765433241,0,42.5808221075,8162.8583922472
2018,238.2343727343,0,3452.506460751,0,0,1845.37041674265
2019,335.827083301,25.562178959,2630.09998659,0,12.7810894795,1482.9635349455
2020,7.2243255373,0,0,0,0,3.61216276865
