Crab.Year,HAL,NPT,POT,PTR,trawl,fixed,trawl_thou,fixed_thou
2009,13913.27279,1275.427547,1129.76224,0.051603394,637.7395754,7521.517515,0.637739575,7.521517515
2010,522.9823496,688.4108099,18605.87869,31.28317747,359.8469937,9564.430518,0.359846994,9.564430518
2011,1592.639065,308.8787612,0,30.81034126,169.8445512,796.3195326,0.169844551,0.796319533
2012,1478.156169,21.23972531,0,0,10.61986266,739.0780846,0.010619863,0.739078085
2013,681.719563,322.2368726,0,4.349976419,163.2934245,340.8597815,0.163293424,0.340859782
2014,979.228129,0,0,0,0,489.6140645,0,0.489614064
2015,442.4789117,0,979.0912063,0,0,710.785059,0,0.710785059
2016,1004.845774,457.8143513,2254.658375,0,228.9071756,1629.752075,0.228907176,1.629752075
2017,737.4135476,95.4180589,10945.94717,0,47.70902945,5841.68036,0.047709029,5.84168036
2018,408.0186858,0,1872.633662,0,0,1140.326174,0,1.140326174
2019,494.3172272,59.5598679,1581.55128,0,29.77993395,1037.934254,0.029779934,1.037934254
2020,10.3596825,0,0,0,0,5.17984125,0,0.005179841
