size,wt.kg,fem_mate
67.5,,0
72.5,,0
77.5,,0
82.5,,0
87.5,,0
92.5,,0
97.5,,0
102.5,,0
107.5,,0
112.5,,0
117.5,,0
122.5,1.43,1
127.5,1.63,1.2
132.5,1.84,1.4
137.5,2.06,1.6
142.5,2.31,1.8
147.5,2.58,2.1
152.5,2.86,2.4
157.5,3.17,2.7
162.5,3.5,3
