survey_year,group,biomass,var_biomass,se_biomass,cv_biomass
2002,male_mature,313764.54781382263,8067856855.16883,89821.24946341389,0.2862695932005384
2004,male_mature,476183.9926293563,35306331860.30177,187899.7920709381,0.39459493594777817
2008,male_mature,551256.7400631767,30063769274.439564,173389.06907426304,0.31453414801675134
2010,male_mature,651710.2683732583,28515591040.940033,168865.60052580287,0.259111462133795
2012,male_mature,367749.1410985486,15858529510.433153,125930.65357740804,0.3424362955715549
2016,male_mature,741084.6005836884,54897421328.3141,234301.9874612977,0.3161609177639884
