model,bmsy,yr_est,proj_b,b_bmsy,f_ofl,OFL_t,OFL_lbs
2020a,589.0663333333333,589.071,526.3922828585605,0.8936044263128723,0.15872088526257444,77.25623919521612,170320.85246590406
2020b,586.2866666666666,586.294,523.9107630256401,0.8936085243151362,0.15872170486302722,76.89240401335316,169518.73319401714
2020c,639.7728888888889,639.781,571.7066043304333,0.8936086762340488,0.15872173524680977,83.90723395027408,184983.78594840618
2020d,586.2866666666666,586.294,523.9107630256401,0.8936085243151362,0.15872170486302722,76.89240401335316,169518.73319401714
2020e,514.5902666666667,614.151,548.803704324042,1.0664867563061342,0.18,90.40431819001023,199307.404827374
2020f,513.0078,596.643,533.1586019708661,1.0392797184971967,0.18,87.82710378692255,193625.61965773712
2020g,557.2711333333333,657.649,587.6734017285683,1.0545556131956502,0.18,96.80731522596567,213423.5969286343
2020h,656.8311333333334,656.691,586.8173354700383,0.8934067002762429,0.1586813400552486,86.10475330987997,189828.48683648123
