survey_year,group,biomass,var_biomass,se_biomass,cv_biomass
2002,male_mature,343088.6058380382,9327270747.185219,96577.79634670289,0.28149520183218896
2004,male_mature,513530.9634264281,41054070763.38833,202618.04155451787,0.39455856800258216
2008,male_mature,605542.5078327688,35147569510.09351,187476.85059786317,0.30960147004186567
2010,male_mature,705769.1020718196,32418011428.735573,180050.024795154,0.2551117982731298
2012,male_mature,411048.82660781307,21802983979.71064,147658.33528694086,0.3592233470303117
2016,male_mature,821799.2090124073,66336660643.887085,257559.04302487048,0.31340872587890495
