year,V3,recovery,FishMort
1,1,0,F = 0
1,2,0,F = 0.18
2,1,0,F = 0
2,2,0,F = 0.18
3,1,4.1000000000000005,F = 0
3,2,3.3000000000000003,F = 0.18
4,1,17.299999999999997,F = 0
4,2,11.35,F = 0.18
5,1,33.75,F = 0
5,2,22.7,F = 0.18
6,1,49.25,F = 0
6,2,31.95,F = 0.18
7,1,62.25000000000001,F = 0
7,2,40.1,F = 0.18
8,1,71,F = 0
8,2,46,F = 0.18
9,1,78,F = 0
9,2,50.74999999999999,F = 0.18
10,1,83.85000000000001,F = 0
10,2,53.75,F = 0.18
11,1,87.8,F = 0
11,2,57.3,F = 0.18
12,1,89.9,F = 0
12,2,58.199999999999996,F = 0.18
13,1,91.60000000000001,F = 0
13,2,58.3,F = 0.18
14,1,92.9,F = 0
14,2,58.95,F = 0.18
15,1,94.25,F = 0
15,2,59.45,F = 0.18
16,1,95.25,F = 0
16,2,60.85,F = 0.18
17,1,95.45,F = 0
17,2,61.45,F = 0.18
18,1,95.95,F = 0
18,2,60.95,F = 0.18
19,1,96.8,F = 0
19,2,62,F = 0.18
20,1,97.3,F = 0
20,2,61.45,F = 0.18
21,1,97.55,F = 0
21,2,62.2,F = 0.18
22,1,97.3,F = 0
22,2,61.3,F = 0.18
23,1,97.05,F = 0
23,2,62.64999999999999,F = 0.18
24,1,97.6,F = 0
24,2,62.949999999999996,F = 0.18
25,1,97.65,F = 0
25,2,63.24999999999999,F = 0.18
26,1,97.7,F = 0
26,2,61.4,F = 0.18
27,1,97.35000000000001,F = 0
27,2,61.199999999999996,F = 0.18
28,1,97,F = 0
28,2,61.95,F = 0.18
29,1,97.35000000000001,F = 0
29,2,61.050000000000004,F = 0.18
30,1,97.45,F = 0
30,2,63.349999999999994,F = 0.18
31,1,97.75,F = 0
31,2,62.74999999999999,F = 0.18
32,1,97.85000000000001,F = 0
32,2,64.14999999999999,F = 0.18
33,1,97.95,F = 0
33,2,62.45,F = 0.18
34,1,98,F = 0
34,2,62.64999999999999,F = 0.18
35,1,98,F = 0
35,2,62.150000000000006,F = 0.18
36,1,97.89999999999999,F = 0
36,2,61.85000000000001,F = 0.18
37,1,97.5,F = 0
37,2,62.849999999999994,F = 0.18
38,1,97.55,F = 0
38,2,63,F = 0.18
39,1,97.39999999999999,F = 0
39,2,62.150000000000006,F = 0.18
40,1,97.45,F = 0
40,2,61.550000000000004,F = 0.18
41,1,97.55,F = 0
41,2,62.25000000000001,F = 0.18
42,1,97.85000000000001,F = 0
42,2,62.5,F = 0.18
43,1,97.89999999999999,F = 0
43,2,61.85000000000001,F = 0.18
44,1,97.85000000000001,F = 0
44,2,62.45,F = 0.18
45,1,97.45,F = 0
45,2,63.449999999999996,F = 0.18
46,1,97.6,F = 0
46,2,63.6,F = 0.18
47,1,97.89999999999999,F = 0
47,2,63.2,F = 0.18
48,1,97.65,F = 0
48,2,63.3,F = 0.18
49,1,97.89999999999999,F = 0
49,2,63.24999999999999,F = 0.18
50,1,98.15,F = 0
50,2,63.3,F = 0.18
