"","year","sex","recruit","lb","ub","recruit_tons"
"1",1978,"Male",3855456.59404159,2722232.29942098,5460425.08998976,2885.52781230877
"2",1979,"Male",3029778.28033132,1919461.43106206,4782360.44726788,2267.56786901353
"3",1980,"Male",791749.236435967,236049.781423836,2655655.30124925,592.566505778062
"4",1981,"Male",1376424.84024507,740681.805667641,2557839.71787446,1030.1535139101
"5",1982,"Male",546341.763836436,199971.792883256,1492657.13232949,408.896927282812
"6",1983,"Male",532852.537624718,259335.118981113,1094845.26418414,398.801226176855
"7",1984,"Male",819951.11368014,477319.806931932,1408531.17566349,613.673552158286
"8",1985,"Male",1212263.70460299,692869.119787373,2121011.38227773,907.290887644904
"9",1986,"Male",1100197.20612982,625584.442639241,1934884.90102028,823.417294392121
"10",1987,"Male",1016626.14322689,565125.777275208,1828847.23481491,760.870454496874
"11",1988,"Male",2689860.79185727,1908640.94570125,3790839.28586301,2013.16444286736
"12",1989,"Male",1386093.61535888,820943.526637601,2340301.67508316,1037.3898862622
"13",1990,"Male",1623345.98500846,1070941.57915402,2460687.15449892,1214.95596552193
"14",1991,"Male",1778000.54219054,1205671.94476603,2622011.68547828,1330.70361179004
"15",1992,"Male",2020791.85502366,1404655.16996912,2907190.18349515,1512.41518567979
"16",1993,"Male",1212263.70460299,757245.813260011,1940695.16630417,907.290887644904
"17",1994,"Male",1482143.63522994,1041773.5966499,2108663.30507592,1109.27631448424
"18",1995,"Male",1488084.08274529,998062.92060037,2218692.01992582,1113.72230579681
"19",1996,"Male",615998.618611904,323972.527657845,1171254.5532025,461.029998131851
"20",1997,"Male",454521.274461347,245658.392137694,840962.879957999,340.175993881282
"21",1998,"Male",320295.728636682,164656.900987604,623049.220333777,239.717971296366
"22",1999,"Male",344896.620367349,211806.923399903,561613.741568912,258.129942891674
"23",2000,"Male",302247.047492236,187307.175894112,487719.049105826,226.209851013471
"24",2001,"Male",65972.9441605452,18489.5317581211,235399.653065779,49.3759326792443
"25",2002,"Male",268337.286520874,151115.299912347,476489.802019728,200.830870338959
"26",2003,"Male",137447.870422086,58774.1610864159,321432.356232011,102.86969731639
"27",2004,"Male",436699.240372517,256006.675680844,744926.772064652,326.837502374282
"28",2005,"Male",622189.50765257,438777.443020049,882269.108385453,465.66342664389
"29",2006,"Male",282659.988432948,118522.441337141,674105.833119361,211.550367162906
"30",2007,"Male",767581.544726265,552609.012166362,1066181.35939301,574.478752774844
"31",2008,"Male",538746.271647349,362672.825622247,800301.33141609,403.212255850211
"32",2009,"Male",508896.533091413,344855.649082592,750968.360476054,380.871905572007
"33",2010,"Male",393171.035102171,260240.426495394,594002.495788442,294.259818288412
"34",2011,"Male",148895.500507709,74552.3766775042,297373.082649567,111.437412758483
"35",2012,"Male",215776.839039204,144413.385714721,322405.322992192,161.493212311595
"36",2013,"Male",161135.354186265,101001.717436439,257070.899661413,120.598049727564
"37",2014,"Male",128283.764584864,80446.1744987251,204568.139611482,96.0110330769562
"38",2015,"Male",141775.485880455,89200.0072637258,225339.537666305,106.108601571051
"39",2016,"Male",102231.998028094,56033.8471205298,186519.076556267,76.5131875881724
"40",2017,"Male",119372.006377187,64545.6755353254,220768.870855128,89.3412326168593
"41",2018,"Male",226386.727618605,119461.091118422,429017.933471369,169.43393939141
"42",2019,"Male",507372.13123822,44877.686935586,5736179.76182025,379.731002066227
