opening_year,retained_number,retained_lbs,retained_t
1990,3135382,20443043,9272.800760456
1991,2630446,17177894,7791.755295248
1992,1201129,8070129,3660.545953368
1993,2254989,14587704,6616.8658327680005
1994,0,0,0
1995,0,0,0
1996,1265860,8521818,3865.428470256
1997,1337308,8889496,4032.204269632
1998,2232600,14944499,6778.705190408
1999,1918470,11782819,5344.592435848
2000,1265502,8196479,3717.8573025680003
2001,1299382,8484481.5,3848.492932548
2002,1490324,9614910.2,4361.246347438399
2003,2514225,15663946,7105.040594032
2004,2262950,15384156,6978.130088352
2005,2730321,18294677.04,8298.31914792768
2006,2455618,15616816,7083.662803072
2007,3139337,20366065,9237.88415548
2008,3066288,20329402,9221.254111984
2009,2537222,15932653.299999999,7226.924075653599
2010,2398487,14833829,6728.506163768
2011,1298446,7957954,3609.664270768
2012,1175752,7984547,3621.726642824
2013,1272273,8798634,3990.989993328
2014,1501209,10005943,4538.615697256
2015,1526974,10171435,4613.68154452
2016,1281194,8650649,3923.865181208
2017,997214,6820431,3093.692938152
2018,629907,4467576,2026.456732992
2019,548516,3913941,1775.3323260720001
2020,455262,2771163,1256.977367496
